Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1371612138746253318,2021-03-15 23:59:51,8,116,178,"$HTR is just getting started

#HathorSwap ❤️
Nano Contracts 💥
Side DAGs 🚀
Debit Card 💸
#NFT support 💯
Potential #Interoperability with $DOT and $QNT networks 😎
#Enterprise clients 🔥

Multi Billion dollar mcap in the making 💪

$ETH $ADA $AVAX $CHR

#Crypto #blockchain https://t.co/mrtmTns5dL"
1371611763465187335,2021-03-15 23:58:22,7,15,162,Smart money is on $Grumpy just watch $link $bao $shib $feg $dot $one $hoge $doge hold my beer https://t.co/cTKjKPwrrT https://t.co/7UQmKP7CbI
1371611685644087297,2021-03-15 23:58:03,0,210,10,Patiently waiting for $DOT $REN $GRT to explode.
1371611637640163329,2021-03-15 23:57:52,2,267,285,"$neo

Noticing alot of love for NEO coming from Turkey 🇹🇷 lately

Where are you from ?

$BTC $EOS $LTC $NEX $ETH $ADA $UNI $SUSHI $LINK $TRX $AAVE $DOT $XRP $XTZ $alice $bnb"
1371611594187182080,2021-03-15 23:57:42,7,689,3989,"List of key #dragonchain patents. This is just part of why real companies will build with the best hybrid #blockchain solution on the planet.

- Interchain
- Blockchain Loyalty Systems
- Enterprise Smart Contract Orchestration
- Tokenized Micro License

$drgn $btc $eth $ada $dot"
1371611345704124418,2021-03-15 23:56:42,7,328,110,"Even if you're holding $DOGE

You should have at least one of  these coins in your portfolio. 
$ETH #BTC $ADA $XLM $ALGO $GRT $DOT"
1371611309670731776,2021-03-15 23:56:34,109,714,68,"$HTR hitting $1.75 is amazing! 🚀

But the thing that excites me most is that it's managed to do that before any of this..

🔥 Nano Contracts
🔥 Side DAGs
🔥 Hathorswap
🔥 Enterprise Clients
🔥 Virtual Debit Card
🔥 #DeFi Integration
🔥 #NFT Support

So bullish 🚀

$BTC $ETH $DOT https://t.co/25egkHpwRe"
1371611287701049344,2021-03-15 23:56:28,11,923,84,"$DOT 34 billion market cap
$WAN 214 million market cap 
100x Potential 

Partnership with one of the biggest companies in China next week!

$WAN has cross chain technology live 
$WAN has storeman node and staking live
$WAN has Wanfarm and Wanswap live

 🚀🚀🚀 FEW
@wanchain_org"
1371611285532471297,2021-03-15 23:56:28,0,1459,2339,"$ewt $btc $eth $dot $ada $atom $link $xrp @IBMEurope @Google @Facebook @Microsoft #COVAX @inclusivecap @RockefellerFdn @TempleInstitute @UN @wef @imf @WHO @WorldChambers 

Gives Shakur to Allah

YOUTUBE LINK UNDER

https://t.co/MwygrQWIGG https://t.co/zAmsgUkks6"
1371610886880776197,2021-03-15 23:54:53,26,5002,1645,"Interested in Polkadot projects? Now you can see all the $DOT ecosystem projects ranked! Click below to view!

Also, what is your favorite #Polkadot project and why?

https://t.co/76ujYK9YM6

#Crypto #Cryptocurrency #Altcoin https://t.co/bmNtzNBHAn"
1371610802860474368,2021-03-15 23:54:33,0,1,3257,"🔄 Prices update in $USD (1 hour):

$BTC - 55737.5 $  (-0.74 %)
$ETH - 1786.25 $  (0.0 %)
$DOT - 34.27 $    (-0.31 %)
$ADA - 1.03 $     (-0.24 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
1371610433782648832,2021-03-15 23:53:05,0,259,271,@TheFinancer Already transferred $dot . Waiting to see the APY now.
1371610251888365568,2021-03-15 23:52:21,132,1931,380,"And here's our second announcement ... partnership with @chainlink 🔥

Any $LINK fans? We're collaborating to create one of the BEST #DeFi ecosystem here, especially on the $DOT platform!

Here's our official announcement: https://t.co/iVYfyJSoA0"
