Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1372336816360198148,2021-03-17 23:59:28,1,223,406,"$ISLA getting ready to turn that big ""U"" shape chart into a ""J"" chart pretty soon. Looking forward to it.

$btc $eth $doge $bnb $swap $pols $cake $sushi $enj $crv $oly $uni $xrp $ltc $spi $umx $dot $ada $YFI $BAO $nfy $ern $1inch $chz $trx $bondly $uncx $reef $ocean $paint $mph https://t.co/Ibjg5S8rmC https://t.co/FG6A5AxH3V"
1372336533701853190,2021-03-17 23:58:21,0,95,176,"Some coins you may hodl for long term trading $chz, $link, $BNB, $bat $theta, $enj, $fil amidst others. 

Albeit, this is not a financial advice.

DYOR."
1372336456824451076,2021-03-17 23:58:02,17,270,429,"What I want to see in 2021:

- $ETH to 5,000$
- $BNB to 1,000$
- $OCEAN to 10$
- $SXP to  30$
- $POLK to 10$
- $BAND to 50$"
1372336240003977217,2021-03-17 23:57:11,0,6397,5861,"@HyperJumpBSC @coingecko @CoinMarketCap @hyper_swap $alloy- $bnb LP

@TeixeiraHeidy
@pruzmani 
@jhappy_quiazon 
@ScrapyCoCoTV 
@rjdevenecia 
@khezeyzey 
@ferdzcrypto
@NKhris24
@MarkMarkIsMe
@ExtraLuckyMe"
1372335962970148864,2021-03-17 23:56:04,0,13,3,"@jackis_trader $OCEAN, $BNB, $ETH should be on rise.

@oceanprotocol gives each data service its own datatoken thus aiding the data wallets to #crypto functions . 

Datatokens are ERC20 tokens enabling publishing and auto pricing data sets while maintaining the security of data owner."
1372335692584529924,2021-03-17 23:55:00,7,720,365,"#BSC / @FantomFDN / @xdaichain

❤️💥❤️💥❤️💥❤️💥❤️💥❤️

Welcome to @EmblemVault #NFT‘s from @circuitsofvalue 💎

$BNB $FTM $STAKE $COVAL https://t.co/MYJVVHgDBW"
1372335681079508992,2021-03-17 23:54:57,0,4037,846,"Make a move $dash!! Come on!!!
$link $btc $eth $nu $algo $grt $mana $ren $band $cvc $dnt $fil $dash $knc $bnb $oxt $bat $doge $aave $xtz $xlm $xrp $eos $zrx $ada $dot $uni $ren $xmr $trx $sol $sushi $enj $xem $maker $atom $ada $skl $m"
1372335342410432515,2021-03-17 23:53:37,0,229,21,"$PXP $AAVE $LINK $BTC $ETH $LTC $BNB $DOT $USDT $ADA $XRP $UNI $BCH $XLM $USDC  $THETA $DOGE $LUNA $ATOM $XMR $VET $AVAX $SOL $MIOTA $EOS $TRX $EGLD $GRT $ZEC $RVN $ETC $NFT $ZIL $KSM $DASH $DAI $SUSHI
🔥🔥🔥THE FIRST #BLOCKHAIN #BANK IN THE WORLD🔥🔥🔥
Read above ⬆️⬆️⬆️"
1372335130682011648,2021-03-17 23:52:46,0,1,60,"$BTC: $1,433.63 (102.40%)
$ETH: $1,436.33 (102.60%)
$XRP: $1,490.04 (106.43%)
$BNB: $1,428.67 (102.05%)
$LINK: $1,521.37 (108.67%)
$TRX: $1,535.24 (109.66%)
$DOGE: $1,473.19 (105.23%)

#bitcoin #ethereum #XRP #BNB #LINK #TRX #DOGE"
1372334502408773640,2021-03-17 23:50:16,0,297,23,we're doin a lil $bnb swing long to $293. https://t.co/qwRea3LZFD
