Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1373061071200784384,2021-03-19 23:57:24,0,574,1012,"@crcline27 It’s a steal and the land point is at least a $1... Tether, ADA is my thoughts... but I’m just a an opinion lol"
1373060380113711106,2021-03-19 23:54:39,0,1404,113,"@securlyblankist @APompliano @Scaramucci Yes, and because of the tether pomp, i mean pump."
1373059867360038912,2021-03-19 23:52:37,0,622,90,@MartyBent @profplum99 He went from bitcoin is a  tether bubble to its actually too good of a store of value that it’s actually bad for us. Difference between bitcoiners and Mike is we don’t block the opposition we kill them.
1373059851216113666,2021-03-19 23:52:33,0,175,78,"as a #/youngperson, even talking to friends, people are seriously coming to the end of their tether with covid restrictions. we've done it for a year and it's still not enough"
1373059437108297729,2021-03-19 23:50:54,0,856,305,@PonderJaunt @binance i agree. inevitably seeing debt collateralization of 1.5Assets-1xAssets from agents is more transparent than this methinks (via https://t.co/DEWjkZTKLy) https://t.co/zCiHbyuIMk
1373057989125496838,2021-03-19 23:45:09,0,141,210,"@MitchellXris I’m not saying anyone should make this a regular response but I can understand the end-of-your-tether-and-this-child-needs-to-know-we-all-have-something-to-lose reaction.

...because these children will try you."
1373057951066435587,2021-03-19 23:45:00,0,775,3338,isolde in 4 days so im guessing her weapon/skills involves needle and thread like abilites where she has to tether herself to enemies to engage and skirmish.. maybe melee but with good cc revolving around her thread like a passive or leblanc chain https://t.co/TTPAc9CI6n
1373057771856400393,2021-03-19 23:44:17,0,73,11,What if $ETH is the real $Tether ‘cause it’s tethered to $BTC ?! https://t.co/VlAAOZJuVI
1373056790527668224,2021-03-19 23:40:23,0,0,0,"Porn or hentai idea : space man right... tether broke floated away in 2 a black hole (that's in a shape of an hairy asshole) his penuis start to bend due to the black hole so he utted and went to sleep... (space man name capt neenuts) 
Planet ussey wonder why thy name idk.....🤔"
1373056237030490118,2021-03-19 23:38:11,0,4998,1089,"@dka218 @vv4isky @WimTheDutchGuy @KetanJ0 I wasn't even going to waste my breathe on the Tether nonsense, that horse has been dead for years. Most #Bitcoin maxis could care less what happens to Tether ... in fact, I'll be buying the fucking dip if anything ever comes from this dumb Tether FUD. https://t.co/ZWSFhM9VvB"
1373055517594095618,2021-03-19 23:35:20,0,105,80,"@Budd77835127 Tell Doggo Lilly she has to stay on tether for 3 minutes! I doubt she'll backtalk you! Eh,"
1373055373775618048,2021-03-19 23:34:45,1,63,8,"@kesslkat @danamarena @cindyinms @CalebJHull You have tripped 3 times in a row going up stairs. 
I've never seen anyone do that in my 55 years on the Earth.
Stop making excuses for a man that should be chaperoned with a tether attached to his waist."
1373054761159815170,2021-03-19 23:32:19,0,407,415,Tackhead - Mind At The End Of The Tether https://t.co/gtnbf1Qxib via @YouTube We r in luv with #tackhead Just learned to convert FLAC &amp; now we have It!! #Industrial
1373054687457513475,2021-03-19 23:32:02,0,6,4,"""hatter"", ""tether"", ""threat"" and ""treaty"" are all #anagraphs of each other"
1373054360406614017,2021-03-19 23:30:44,0,520,46,@hahaharden Tether
1373053996110389249,2021-03-19 23:29:17,0,1303,769,@DJ_Unreal @SurreyRoadCops For a motorbike you will want something that can do a high frame rate (e.g. 60fps) and with image stabilisation. Maybe have a look at YouTube to see what people upload. You'll also want a good mount with a tether.
1373053799829549069,2021-03-19 23:28:30,0,123,16,#Tether (USDT) could emerge as an unlikely target for the Chinese central bank https://t.co/H7BCfdCQmj
1373053503384522753,2021-03-19 23:27:19,0,402,101,"@Scot1andT The volatile wicks can come from the USDT/USD rate

Charting the cryptos in USDT will print better candles and the volume is more true as there’s so much more liquidity in Tether as it is the crypto peg"
1373053465904177153,2021-03-19 23:27:11,0,134,43392,@cmdoerfler @zachtratar Nope. Tether has nothing to do with Bitcoin
1373053365324767236,2021-03-19 23:26:47,0,18,1,I earned with the help of my friends!💸Anyone can try how it is simple and fun on @betfury_io i-Gaming platform. My Username: ANEPICDUDE #betfurysuccess #tron #bitcoin #referral #cryptogame #BNB #ETH #etherium #Tether #gamblingplatform #cryptoDividends #cryptotwitter #CryptoNews
1373053109895827459,2021-03-19 23:25:46,0,235,1016,"@vv4isky @MarketGladiator @WimTheDutchGuy @KetanJ0 Billionaires, insurance companies, and corporations are buying bitcoin...and nocoiners are going on about tether since 2014. It's sad at this point.
P.S. Don't buy tether. Buy bitcoin."
1373051916595429378,2021-03-19 23:21:01,0,1772,742,"@seakoz @colmmacc May I suggest....https://t.co/eJDbG8OcI4 this (https://t.co/C1ugKdi9Ta) was made suctioned to the top of my car driving back into Chicago, secured with a tether through the sunroof…"
1373051505977274372,2021-03-19 23:19:23,0,50,279,"1: Bitcoin price is $58466.24 (-0.61% 1h)
2: Ethereum price is $1817.14 (-0.70% 1h)
3: Cardano price is $1.31 (-1.55% 1h)
4: Binance Coin price is $264.16 (-0.52% 1h)
5: Tether price is $1.00 (0.09% 1h)
17: Dogecoin price is $0.06 (-0.37% 1h)"
1373051296278794244,2021-03-19 23:18:33,0,1562,673,"@Beckiboobah More whisky for me.
End of my tether here."
1373050895009681409,2021-03-19 23:16:58,0,0,137,SkyBridge Capital CEO says Elon Musk owns over $5 billion in Bitcoin through Tesla and SpaceX - https://t.co/v3AXeNPUt2
1373050546345537536,2021-03-19 23:15:34,0,273,18,@BarterBlex I sold my 800 $link for TETHER because I hear it's going to moon
1373050130346119170,2021-03-19 23:13:55,0,193,62,@Bitfinexed Tis a start but doing nothing to tether printing. Unless they put arrest warrant for cz I don't see this pump stopping
1373050016361766916,2021-03-19 23:13:28,1,216,96,"@lacrosse_al @johnkvallis @profplum99 @CynthiaMLummis He’s changed his tune since the Nic Carter pod...then it was all ‘China!’ and ‘Tether!’  

Now it’s an ‘ok’ store of value but ‘woah...passive income!’

Rapidly becoming one of the biggest clowns in the no-coiner space."
1373049701524631555,2021-03-19 23:12:13,0,172,4,@BNPdayren How RJ 1.5 made it too easy and not fun. Just shoot a tether and that's it
1373049482368065540,2021-03-19 23:11:21,0,479,3204,"@colmmacc Is it guaranteed to never fall off? No. It probably won’t fall off, for some large value of probably. I suggest calling. Your auto insurance agent and asking them if you are fully covered if it fell off and caused a huge accident. I imagine you can also add a backup tether."
1373049027235774466,2021-03-19 23:09:32,0,193,62,@davidgerard This will do nothing as long as tether exits
1373047431353491459,2021-03-19 23:03:12,0,1739,1088,@coinmamba Personally I don't think it'll be Tether that tanks the market- it'll be the SEC going after a bunch of exchanges at once for self-trading and wash trading (obviously a bunch of which happened through Tether)
1373046747480563715,2021-03-19 23:00:29,0,0,3766,"Tether - USDT
Price: $1.00
Change in 1h: +0.25447667%
Market cap: $39,355,866,839.18
Ranking: 5
#Tether #USDT"
1373046713699684356,2021-03-19 23:00:21,0,0,2040,"Top 5 Cryptocurrencies - Current Prices

$BTC: $58,712.38 - Bitcoin ⬆️ +0.29%
$ETH: $1,826.84 - Ethereum ⬆️ +0.24%
$ADA: $1.33 - Cardano ⬆️ +1.43% 🚀
$BNB: $265.58 - Binance Coin ⬆️ +0.54%
$USDT: $1.00 - Tether ⬆️ +0.25%"
1373045939854848001,2021-03-19 22:57:16,0,3612,2946,@crypto Tether is the ponzi final boss
1373045911899750401,2021-03-19 22:57:10,0,0,11021,The Daily: Tether Sheds Its Peg – The Daily Tip Bitcoin News https://t.co/IfdOkHCwwb
1373045891502764037,2021-03-19 22:57:05,0,674,239,@9812dayFM We have tether ball at the school I work at and the kids enjoy it
1373045877149945863,2021-03-19 22:57:01,0,56,118,"Hourly Price Alert: BTC rose by 0.71% to $58,536.00. LTC rose by 0.33% to $201.00. ETH rose by 1.73% to $1,822.00. USDT dropped by -0.99% to $1.00. 24hr Change. Your move! #Bitcoin #Litecoin #Ethereum #Tether"
1373045865984659459,2021-03-19 22:56:59,1,556,2124,He knows. It's Tether time. https://t.co/Pd9EPIg6eA
1373045678138609664,2021-03-19 22:56:14,0,125,102,@HughGillanders The fact is Hugh whether you like it or not that people are at the end of their tether.Tensions are running high and there’s a huge level of distrust with the government who people feel have let them down.
1373045534567636992,2021-03-19 22:55:40,0,103,16,""".. any issues preventing investors using #Tether could result in a liquidity shock across the broader cryptocurrency market. It is performing “classic liquidity transformation” similar to commercial banks without the same strict regulations or deposit insurance, they wrote. https://t.co/vFLzCOQZXe"
1373044115408060417,2021-03-19 22:50:01,0,2116,1684,"'I absolutely apologise to anyone who feels frustrated, angered, or frankly, at the end of their tether when they see that clip'

#cryptocurrencynews #tether

https://t.co/Gi7Y8vodAk"
1373041249364611073,2021-03-19 22:38:38,0,124,349,@skywalker_2k @hvandrie @MetreSteven @coloradotravis @that_double_u What is the connection with Tether ?
1373040974063140868,2021-03-19 22:37:32,2,812,2018,"TRTC-20 transactions with $Usdt Tether is really fast and cheap.
I just funded my Bilaxy account in minutes for very little, since @BitrueOfficial  has suddenly halted withdrawls of $Ltc with no warning or reason as to why. 
Won't stop me from... https://t.co/xE6XPaD7Cu"
1373039981116194822,2021-03-19 22:33:36,0,2381,2600,"I stand in your room
I don't know what to do
A distant planet
Is pulling me away from you

Whatever
Forget her
Pretend that
You never even met her
I'll sever the tether
That's keeping you together
Forget her
It's better
But I still remember
Remember, remember
I still remember https://t.co/ay6UIe013o"
1373039415300329475,2021-03-19 22:31:21,0,1929,3195,@englishscribe Ah that's fortunate! I know its something with my router because it works if I tether it to my phone but I only have 4GB of data...
1373039394681200648,2021-03-19 22:31:16,0,295,76,"@matt_odell @CoinDesk @coinbase @CFTC @nikhileshde Tho to be fair, if we're going to be happy that Tether settled with NY, then we can't immediately assume guilt of coinbase at the same time."
1373038354976096258,2021-03-19 22:27:08,0,3612,2946,Coinbase is now Settlement Buddies with Bitfinex and Tether
1373037372162588675,2021-03-19 22:23:13,0,1753,133,@iamZatoshi If this tweets viral Tether Fud 😂
1373036848730284033,2021-03-19 22:21:09,12,415,73878,Tether Minting new Coins 💸 https://t.co/Ih6UTJaNgY
1373036406482874368,2021-03-19 22:19:23,0,50,279,"1: Bitcoin price is $58733.34 (-1.29% 1h)
2: Ethereum price is $1829.61 (-0.55% 1h)
3: Cardano price is $1.33 (0.36% 1h)
4: Binance Coin price is $265.22 (-0.91% 1h)
5: Tether price is $1.00 (0.24% 1h)
17: Dogecoin price is $0.06 (-0.52% 1h)"
1373035328374775817,2021-03-19 22:15:06,0,333,37,Been at end of the tether myself all day &amp; I don’t want to argue with her nor lose my head completely as I will end up walking out (if I don’t do that I don’t know how it would end up😖🤯😭). Only being honest as Borderline Personality Disorder means Jekyll &amp; Hyde for me 🧔🏻👿
1373035048740352001,2021-03-19 22:14:00,4,447,2056,"@MetreSteven Not only the SLR relief &amp; skyrocket margin connection makes lots of sense, but it also clicks with me why &amp; how #Tether suddenly was able to print TONS of $USDT since Apr2020 to keep pushing up #BTC: done through margin! If so, reverse can be EPIC

@coloradotravis @that_double_u https://t.co/PPBkmH6nXm"
1373034285570125830,2021-03-19 22:10:58,2,523,1207,Also I hope he didn't need that tether X3 hehehe naaaaah he's fine I'm sure! https://t.co/nDTn6YeTq5
1373034125586788353,2021-03-19 22:10:19,2,207,1649,"Coinbase fined by CFTC for wash trading. Warming up for Tether

https://t.co/cMU6W5XTQU"
1373031673974026244,2021-03-19 22:00:35,0,0,3766,"Tether - USDT
Price: $1.00
Change in 1h: +0.24069734%
Market cap: $39,337,575,091.87
Ranking: 5
#Tether #USDT"
1373031616407306242,2021-03-19 22:00:21,0,0,2040,"Top 5 Cryptocurrencies Prices

🔻 $BTC: $58,913.81 | Bitcoin -0.14%
⬆️ $ETH: $1,834.58 | Ethereum +0.24%
🔻 $ADA: $1.32 | Cardano -1.32% ☄
🔻 $BNB: $265.96 | Binance Coin -0.10%
⬆️ $USDT: $1.00 | Tether +0.24%"
1373030825399255040,2021-03-19 21:57:13,0,392,343,"@LunaTheGreyTuna If you had a pretty tether, maybe you could go to the park?"
1373030779421343749,2021-03-19 21:57:02,0,5398,7550,"The New York Attorney General's Office Reaches Settlement with Bitfinex and Tether - Corruption, Crime &amp; Compliance https://t.co/Mar039JQOs via @@mikevolkov20"
1373030193766486027,2021-03-19 21:54:42,0,62,1024,"@patricksgrant1 I remember reading that you “only” have to move about 5 km/sec to hop from Mars to Phobos.  Or, Phobos could be the counterweight to a tether or space hook system.   I don’t know how that translates to G forces, though."
1373030161575215109,2021-03-19 21:54:34,0,2,4,"Top Stablecoins by Market Cap 03/19/2021

1. Tether:  $39,365,517,660
2. USD Coin:  $9,989,975,087
3. Binance USD:  $3,206,342,901
4. Dai:  $2,871,133,656
5. TerraUSD:  $1,286,398,571"
1373030152083488770,2021-03-19 21:54:32,0,2,4,"Top Stablecoins by 24h Volume 03/19/2021

1. Tether            $1.0     $81,491,599,159
2. Binance USD       $1.0     $3,041,545,492
3. USD Coin          $1.0     $1,428,695,094
4. HUSD              $1.0     $1,052,770,303
5. Dai               $1.0     $211,355,755"
1373029555796074499,2021-03-19 21:52:10,0,36,7,"@virginmedia @virginmedia Just a quick update, still no response on your text line for nearly 2 hours so I guess the operative has given up on me. Now at end of tether and feel very let down. Not getting service expected since January. No support whatsoever. #poorcustomerservice #feelletdown"
1373029105612955651,2021-03-19 21:50:23,0,664,281,@ericjuta @satsdart @jimtalbot What about  eth/tether on Bitfinex?
1373028369906991109,2021-03-19 21:47:27,0,290,238,@Turnbullsrat Tether Tommy
1373028310955872258,2021-03-19 21:47:13,0,653,207,"For the souls that have ascended it is said that they remain aware in the afterlife, even being able to recall their past lives!

Because of this it is also said some are able to create a facade of their bodies, something to tether them to a new reality~"
1373028126683398146,2021-03-19 21:46:29,0,43,19,"In the words of the great Papalymo Totolymo (FFXIV) ""I am nearing the end of my tether."""
1373027694003294209,2021-03-19 21:44:46,0,839,108,"@MaryLouMcDonald @paddycullivan Sorry, Marry Lou. I'm a life long Sinn Fein voter but I'm done with the party now. Your silence regarding the lockdown is unforgivable. We are at the end of our tether and nothing else to give. All we here from you is about contact tracing, we are beyond that."
1373027484187324417,2021-03-19 21:43:56,0,394,148,@maxkeiser @PontificAsian @Crypto_Standard @IOHK_Charles @gokhshteinmedia Tether.
1373026880278859777,2021-03-19 21:41:32,0,1990,3995,It has to start with an undeletable digital tether to every endpoint device. Because you can't secure what you can't see. #endpointresilience #K12 via @EdTech_K12 https://t.co/km2MdrCVj6
1373026629849550851,2021-03-19 21:40:32,1,33,10,"Discussing the third type of security tokens, Contactless tokens.
#wazirxwarriors #indiawantscrypto #cryptoeducation #stablecoins #trx #BTC #Bitcoin #ETH #blockchain #learncrypto #USDT #tether #PAX #BUSD #Binance
#ADA #LINK #cryptocurrencies 
#NFTartist #nftcollectors https://t.co/44wC1qHdRS"
1373026367298801665,2021-03-19 21:39:30,0,966,3100,"@nic__carter @btcplebeian @johnkvallis @lacrosse_al @profplum99 @CynthiaMLummis Travis is one of the most uniquely frustrating people to me on this whole website

I think it's because he was long BTC and kinda cool until $19k, when he discovered Tether FUD , sold everything, and started taunting Bitcoiners everyday 

I had to mute him"
1373025636810391558,2021-03-19 21:36:36,0,1307,4663,"@DustinTillman Thanks, these are unprocessed, straight out of the camera (JPGs) I can't always do that, the light has to be good, the wifi has to be strong, and I needed a D6 to tether to my computer. I'll replace them on my site with processed ones over the coming days. 👊🏼"
1373025452260986886,2021-03-19 21:35:52,0,2131,9239,@foleywan_kenobi Honestly. I live alone and go to the supermarket once a week. I have nothing left to give. Most people are at the end of their tether.
1373025139713961984,2021-03-19 21:34:37,0,339,321,"@SpeculatorSeth @zerohedge And going forward they'll be reporting quarterly so everything is transparent. Margin is fine as long as tether is backed, which it was and is. Tether FUD is dead."
1373024157051592707,2021-03-19 21:30:43,3,529,5787,Damn I should've listened to all the tether alarm bell ringers and sold at $400 when they told me to.
1373024060662251527,2021-03-19 21:30:20,1031,529,5787,Tether has now been audited more times than the Federal Reserve.
1373024053494231049,2021-03-19 21:30:18,3,529,5787,"The tether noise is over.

On to the next fantasy!"
1373022286417104898,2021-03-19 21:23:17,0,3,0,@donie I think we’re all coming to the end of our tether and the government don’t seem to give any urgency to dealing with matters. Heard of vaccination appointments being cancelled because the vaccines haven’t been delivered. Patience is evaporating.
1373022087703592964,2021-03-19 21:22:29,0,1018,15164,as many* and posted from web app cus I lent my bf my phone to tether to finish a podcast he's recording D: I'm so kind 😂
1373022081865093127,2021-03-19 21:22:28,0,306,125,@terr6210 No idea. Maybe its a ring to tether Mr. T.🐢 by?
1373022030958891015,2021-03-19 21:22:16,0,312,253,@TeridaxDev Those squirtle nairs hitting tether are gonna feel extra good
1373022005931339776,2021-03-19 21:22:10,0,513,8622,@PlanetDr @squawky I had to phone tether in to finish an ops shift recently. It was awful.
1373021969671729159,2021-03-19 21:22:01,0,53,141,"@ChicMarrakech @JoseOchea3 @mike_maloney Yep, let me break it down. Bitcoin is being pumped through Tether which is owned by iFinex out of Hong Kong. When the dollar crashes so will #BTC and the digital Yuan will take over. Its called DCEP and already running. China is running the show!!"
1373021910531997701,2021-03-19 21:21:47,5,704,60270,"What's the next crypto to hit a $1 Trillion Market Cap?

Lol &amp; don't say ""Tether"" you smart@$$es

For now, #Bitcoin is still king"
1373021436814704641,2021-03-19 21:19:54,1,66,16,"@LitecoinForever Litecoin might see some downfall or maybe say a small correction. Hold it.
#LTC #Litecoin #LTCUSD #LTCUSDT #Binance #Tether #cryptocurrency #analysis #chartpatterns #TradingView Thanks to  @CoinexpressT for sharing analysis https://t.co/U7Ag0pND9I"
1373021306371854336,2021-03-19 21:19:23,0,50,279,"1: Bitcoin price is $58823.20 (-0.06% 1h)
2: Ethereum price is $1830.03 (0.07% 1h)
3: Cardano price is $1.33 (0.82% 1h)
4: Binance Coin price is $265.55 (-0.30% 1h)
5: Tether price is $1.00 (0.17% 1h)
17: Dogecoin price is $0.06 (0.22% 1h)"
1373021222200516610,2021-03-19 21:19:03,0,114,33,"@Cokedupoptions But, but, but what about all Tether printed to pump up #Buttcoin over the weekend? Doesn't that count as protecting your money?  Look at #Buttcoin from 11:00 AM Sunday to 9:30 AM on Monday; a huge pump is guaranteed every weekend.  FEDs can't print over weekend, but Tether can."
1373020946609541123,2021-03-19 21:17:57,0,968,1413,"@profplum99 is a joke. He is the most arrogant obvious fool I have seen comment on #bitcoin 

He said Tether would bring down #bitcoin 😂😂😂😂 https://t.co/E8546pLlMa"
1373020569470390272,2021-03-19 21:16:27,0,830,61882,@squawky My internet died dead. I had to tether to my phone to get back into class 🙃
1373020272534634496,2021-03-19 21:15:17,0,536,97,@will_nett Tether a horse is well worth the money alone!
1373019301754466304,2021-03-19 21:11:25,0,245,369,"@BunkerTheHusky And if you use spray paint in space, do remember to bring a tether."
1373019201795813377,2021-03-19 21:11:01,0,202,216,@ProofofBrain_ @zerohedge Did you actually read the documents that they put out with the settlement?  They confirmed everything we suspected about Tether not being backed by real assets.  People are buying Bitcoin with margin.  It's literally no different than the dollar.
1373018453708308486,2021-03-19 21:08:03,3,7249,7432,"https://t.co/SkIFZMPdZp

50 minutes in, having called Sturgeon's SNP a cult, an independence enthusiast lays bare much that should bother us all re Scots 'justice'.

A man at the end of his tether with Sturgeon's narcissisim, Craig Murray is also prepared to ignore Salmond's."
1373018208043737094,2021-03-19 21:07:04,0,535,566,@lseeburr They need to tether him down🤪🤪🤪
