Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1374148829184884737,2021-03-22 23:59:45,0,50,951,"ALRIGHT EVERYONE HERE IS THE LINK TO MY YOUTUBE CHANNEL!
SUBSCRIBE AND SHARE IT PLEASE AND TURN ON POST NOTIS!NEW WILL VIDEO WILL POST VERY SOON!
$BTC $ADA $REN $ETH $SRK $LTC $UNI $DOGE $BNB $DOT $KCS $vet $fil $enj
$bch $aave $cro $ELA $FET $VRA

https://t.co/mdttbGqpPE"
1374148596673568769,2021-03-22 23:58:50,0,864,844,$bnb alrighty then that was dramatic... Lessgo up now https://t.co/DoDgW2vNcx
1374148426242396163,2021-03-22 23:58:09,78,95,7,"Ethereum is not what it was - projects on Binance Smart Chain, DOT and others are seeing traction.
What will be the leading chain 24 months from now? 
$BNB $DOT $OMYX #blockchains https://t.co/DtpImElNLw"
1374148380893474816,2021-03-22 23:57:59,0,467,208,"@DegenProtocol I will hodl $DEGEN to the moon 

 $BNB $DEGEN $BSC]

@Ciwawa19429359 
@Suharjo67409431 
@GweeJames 

0xB6C3A2D5E57f6805234CD06E1d632377C10278d2"
1374148197996589060,2021-03-22 23:57:15,0,85,19,"@DegenProtocol I will hodl $DEGEN to the moon $BNB $DEGEN $BSC
@Jhoni94984081 @Jhot21022777 @Jhonod3 
0x3D57E882fbE48999ED95b0cE9C656E349A9acD0e"
1374148124193751040,2021-03-22 23:56:57,0,5,13,"$ADA $ALGO $ALICE $ALPHA $ANKR $ATOM $AVAX $AXS $BAL $BAND $BAT $BCH $BEL $BLZ $BNB $BTCB $BZRX $CHR $CHZ $COMP $COTI $CRV $CTK $CVC $DASH $DEFI $DODO $DOGE $DOT $EGLD $ENJ $EOS $ETC $ETH $FIL $FLM $FTM $GRT $HBAR $HNT $ICX $IOS 

#SAFEMOON Burning 20% of coins every two weeks! https://t.co/37CmM4gHiZ"
1374147277674192899,2021-03-22 23:53:36,0,1188,394,"@DegenProtocol I will hodl $DEGEN to the moon $BNB $DEGEN $BSC]

@Afolabi51159051 
@samzard10 
@Temiday93910113 

TG - possibiliterian
BEP20 - 0x0b54B8B83DfF437B8C559eA58A3c0bF817C019d7"
1374146578420797440,2021-03-22 23:50:49,1,419,1631,"💎More I look the more bullish I get💥

1st Oct 2020 $BNB was 4bn mc, $CAKE was 3.4m mc😳

Today #BNB is 10x higher and #CAKE is 445x higher👀

Today $AVAX is $3.7bn &amp; the main DEX $PNG is $5.7m👀

In 6months time once @avalancheavax craze has hit could see similar growth🤘#AVAX https://t.co/VLTPsEGcEq"
1374146410828853248,2021-03-22 23:50:09,0,106,17,"@DegenProtocol I will hodl $DEGEN to the moon $BNB $DEGEN $BSC
@jhop_jhopi @Jhoni73382793 @doni_jhons 
0x314B1135Ef878679Ac53aeB2AdB61198Ec236785"
1374146383847030784,2021-03-22 23:50:02,1,153,308,"Another one 👌 this week will be amazing for $OXT 😝🚀🚀🚀

$link $btc $eth $nu $algo $grt $ltc  $ren $band $cvc $dnt $fil $dash  $bat $doge $aave $xtz $xlm $xrp $eos $zil $loom $ada $dot $bnb $hbar $zec $trx $xmr $avax $sol $ftt $ksm $btt $chz $xem $snx $egld $rep $poly $kava https://t.co/SJGoFKTcDv"
1374146196550389772,2021-03-22 23:49:18,0,11,121,"Haters need to know, they can't build an infrastructure with their slick mouths. $btc $eth $ltc $bnb $ada $vet $ocean $dag $rsr $one"
1374146195635851267,2021-03-22 23:49:18,3,405,448,"Even babies will!
@360wellnessapp 
$DEFIT $BTC $BSC $ETH $ATOM $ADA $XRP $BNB
#Blockchain #crypto #bitcoin #crypto #wellness #health #healthy #DEFIT https://t.co/E67DvFPlqH"
1374145927498194948,2021-03-22 23:48:14,4,571,3686,$THETA + $TFUEL market caps combined are bigger than  $LINK. If you've DYOR .. you'll know that $UOS will be at the very least 2 or 3x bigger if not much more....putting @ultra_io at a market cap higher than $DOT and $BNB probably at #3 spot. The revolution is coming.. r u ready? https://t.co/Upx2PVwdnx
1374145690893434881,2021-03-22 23:47:17,75,4733,1119,"$ONE coin to bridge them all... 🌕
♻️Smash that #Retweet if you are experiencing symptoms of BULLISHNESS 🚀🚀🚀🌕
@harmonyprotocol @binance $ETH $BSC $BNB 
🌍https://t.co/e0H5JujI91 https://t.co/CFRpBiCJAr"
1374145591899394049,2021-03-22 23:46:54,0,118,33,"@DegenProtocol I will hodl $DEGEN to the moon 

$BNB $DEGEN $BSC
@lopiganner 
@Ciwawa19429359 
@Suharjo67409431 

0x0fe3c1599Ae6F9B9d84D2e355956c222bB5495cD"
1374144976196620290,2021-03-22 23:44:27,3,46,38,United States Patent Office notified @verasitytech $VRA today that the patent filed for System and Method for Proof of View via Blockchain will be issued tomorrow the 23/03/21 🚀🚀 #PoV $VRA $THETA $BTC $BNB https://t.co/c0PVw0D3US
1374144971914285057,2021-03-22 23:44:26,2,669,150,$btc $eth $ltc #ltc #xrp $xrp $dot #ada $ada #bch $bch #bnb $bnb #link $link $xlm #ethereum #Polkadot #Cardano #chainlink #tezos $xtz $cel #cryptonews #bitcoinprice $dash #bitcoinnews #coinbase #Crypto #cryptotrading #CryptoNews #altcoins #THETA #DogecoinRise #dogetothemoon #LUNA https://t.co/Q8yoPxNBHK
1374144742171230209,2021-03-22 23:43:31,0,4042,844,"$bnt worth grabbing during the dip ?
$link $atom $algo$nu $mana $ada $eth $algo $grt $ren $fil $dash $knc $bnb $oxt $bat $doge $aave $xtz $xlm $xrp $zrx $uni $ren $xmr $trx $sol $enj $ada $skl $matic  $ocean $rune $keep $alpha $btc $eth"
1374144571471450114,2021-03-22 23:42:50,1,1387,358,"I have warned you 😋🤓 that $Btc will re test 53k area 😉
Load and Long $AVAX &amp; $ETH 🚀🚀
Will you miss every dip as a newbie?
$btc $eth $bnb $ltc $xrp $doge $sxp $grt $ada $dot $avax $klv $sc $xlm $orn $ocean $rsr $zec $dash $neo $bch $vet $crv $chz $link $egld $ksm $sol $srm https://t.co/qHx2jyHzVh"
1374144434703581184,2021-03-22 23:42:18,0,94,32,"I’d go all in on $MLN now. No roof on this one. Over 50% in the last 24hrs and still picking up speed.

Adding to that its small market cap and we’re seeing explosive growth. A 2x is possible in a short timeframe. Huge buy signal!

#Bitcoin #ethereum $ADA $DOT $ATOM $BNB #crypto"
1374144233586630658,2021-03-22 23:41:30,0,190,79,"@DegenProtocol I will hodl $DEGEN to the moon [ $BNB $DEGEN $BSC]

@TBlothon @AhnYuji35134688 @kariumaga 

0xD2e2889D19a32e5050456dC26504395F9b685D53"
