Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1382846185338146817,2021-04-15 23:59:57,1669,193,12,"Celebrating Echelondao BSC Launch Giveaway

$250 BUSD #GIVEAWAY
5 Lucky Winners will get $50 worth #BUSD Each

✅ Follow @EchelonDAO &amp; @BNBSwap
✅ Like &amp; Retweet
✅ Tag 5 Friends
✅ Comment your #BSC Wallet Address
#Binancesmartchain $BNB #DeFi #BNB #Crypto #Airdrop #Altcoin https://t.co/UuT7aMnxxO"
1382846168481300480,2021-04-15 23:59:53,1,127,21,BNB 15th  coin burn on 17th April 2021
1382846167965265922,2021-04-15 23:59:53,3745,2662,604,"To appreciate my community 
I will Giveaway $10,000 in
#dogecoin #Bitcoin #BNB 
To 10 Followers ( $1,000Each ) 
When I hit 200k followers 🚀

Just like, Retweet and be 
Following me 🔔

Join my telegram - https://t.co/O9yJnDPDy5

Tag your friends ❤️

#BTC #doge #ETH"
1382846161099370502,2021-04-15 23:59:51,2,129,76,"Things I love to do: Smoke 
Things I love to be: warm

All Cali Air BnB’s should be 420 friendly"
1382846142581411840,2021-04-15 23:59:47,2498,631,152,🔥 $100 to someone who retweets this and follows @TheWonderGirl4 + @wondergirlsGAW + @Cryptoqueen09 in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #DeFi #NFT
1382846125078614018,2021-04-15 23:59:42,1,127,21,BNB 15th  coin burn on 17th April 2021
1382846120653684737,2021-04-15 23:59:41,4,6,687,".@ESEA PREMIER UPPER BRACKET FINAL TIME ⏰

LIVE against @TriumphGamingGG on NUKE for the first map of this exciting BO3! 

Tune in to see if we make it into the Grand Final for a shot at EPL next season! #BnBtotheMoon 🧸🚀

🎙️ https://t.co/QLIIAkjGhN https://t.co/cUInAG0mNb"
1382846105369468931,2021-04-15 23:59:38,3745,611,72,"To appreciate my community 
I will Giveaway $10,000 in
#dogecoin #Bitcoin #BNB 
To 10 Followers ( $1,000Each ) 
When I hit 200k followers 🚀

Just like, Retweet and be 
Following me 🔔

Join my telegram - https://t.co/O9yJnDPDy5

Tag your friends ❤️

#BTC #doge #ETH"
1382846104643903491,2021-04-15 23:59:38,1298,134,28,"GIVEAWAY! WIN 1 BNB.
To participe: 
-RT &amp; Fav
-Tag 3 persons
-Leave us your wallet (Binance Smart Chain) https://t.co/yQp5jODZfM"
1382846103414923265,2021-04-15 23:59:37,4036,386,36,"I will give $50 to 2 Random Followers ($100 in total) in few hours

Just Like, Retweet this
and Follow Me🔔

Tag Your Friends + #BNB"
1382846097161400333,2021-04-15 23:59:36,27,581,483,"The current $BTS price is Now at This Time in All Markets https://t.co/hteas218Yn
The latest streaming pricing data in the world of cryptocurrencies in BTS

#xbts #BitShares #exchange #dex #bitcoin $BTS $STH #waves #Dash #HecoChain #BTC #linux #EOS #Doge #IPFS #BNB #TRX #Skycoin https://t.co/UJRaaUbqzi"
1382846088231612416,2021-04-15 23:59:34,4083,236,135,"🔹Join our Telegram Group https://t.co/mG0JkzlbHU 
🔹Follow, Retweet pinned post with $vpay #bsc #bnb also comment $vpay  #vpay and tag at least 5 friends 
🔹Also get 5 vpay for each valid referral"
1382846073018847233,2021-04-15 23:59:30,146,90,7,"#bnb is by far the first. It shines like a star in the market.
Its performance is truly amazing.
Are you satisfied with its performance?

@binance
@cz_binance 
#BNB https://t.co/ABmBmTdKvo"
1382846071341260810,2021-04-15 23:59:30,0,21,27803,"Some weeks ago we saw the videos of @thebillions_es  about #BSC and #pancakeswap . But cant find any platform for free price alerts. So, here is the FREE price alert bot we made on telegram: https://t.co/wGenZdl6C4 
$CAKE $BNB
Have fun and Happy trading!"
1382846058624000003,2021-04-15 23:59:27,9,1051,653,"#BTC $62,589
#BNB $537
#CHS $0.3
#BSCX $13

SOUNDS GREAT !!!"
1382846045244301312,2021-04-15 23:59:23,3334,818,34,🔥 $100 to someone who retweets this and follows @krypterra with 🔔 on in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #DeFi #NFT #NFTs
1382846044057243657,2021-04-15 23:59:23,0,25,0,Come on #BNB you can do this 🚀
1382846037463769093,2021-04-15 23:59:22,13387,24,1,"I will give $1,000 to 10 Random Followers ( $100 each) when i reach 50k Followers❤️

Just Like, Retweet this
and Follow Me🔔

Tag Your Friends 🍀

#BNB  #Bitcoin"
1382846034443919362,2021-04-15 23:59:21,1298,98,50,"GIVEAWAY! WIN 1 BNB.
To participe: 
-RT &amp; Fav
-Tag 3 persons
-Leave us your wallet (Binance Smart Chain) https://t.co/yQp5jODZfM"
1382846029725278212,2021-04-15 23:59:20,2498,1386,36,🔥 $100 to someone who retweets this and follows @TheWonderGirl4 + @wondergirlsGAW + @Cryptoqueen09 in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #DeFi #NFT
1382846028634738692,2021-04-15 23:59:19,310,495,1076,"Dear @dego_finance community,

Yesterday we have launched $DEGO / $BNB liquidity mining pool. This APY is huge since people are not aware of its existence yet.

Take advantage of this chance before our $ZDCash reward allocation runs out.

#LaunchZone #PoolX $BSCX https://t.co/pF0OF5ivDD"
1382846028274135043,2021-04-15 23:59:19,554,2176,101,"🔥🔥$20 to someone who retweets this and follows 
@blackfoxmoney, ends in 24 hours! 🖤 #giveaway #bitcoin #ethereum #bnb"
1382846002839883778,2021-04-15 23:59:13,1298,2653,2986,"GIVEAWAY! WIN 1 BNB.
To participe: 
-RT &amp; Fav
-Tag 3 persons
-Leave us your wallet (Binance Smart Chain) https://t.co/yQp5jODZfM"
1382845999845023748,2021-04-15 23:59:13,178,66,7,"Roses are red
Violets are blue
""Low-cap"" is the best
Which would you choose?

$DEGO $BONDLY $JULD $POOLZ $VALUE $BSCX $JUL $FUEL $ALPA $MCRN $BNB https://t.co/pvjKRDcUnt"
1382845994665091075,2021-04-15 23:59:11,5304,30,0,"Hotbit Listing Announcement 🔥

We are excited to announce that we will be listed in Hotbit in May 1 2021 🔥

Listing price 1 BNB ≈ 200 VRF
PRESALE 1 BNB  ≈ 800 VRF
Total Pre-sale  ≈ 1,000,000 VRF

Minimum buy 0.1 BNB
Buy now : https://t.co/pjbPcz3yDn

#BSC #Moon https://t.co/iYk6x6SUwP"
1382845991687192578,2021-04-15 23:59:11,8141,1343,148,"Airdrop round #2 is live now

🔹1 KP0R = 500 USD
🔸For Joining- Get 0.01 KP0R
⭐ For each referral- Get 0.001 KP0R
🔗Link: https://t.co/k3z4M0arSf

👉 Dont miss to join our ico: https://t.co/R6qYtxIpfq

#liquidity #defi #airdrop #Farm #BNB #NFT #bsc #BinanceSmartChan #kp0r #stak https://t.co/NeKH9rrvXC"
1382845984158400512,2021-04-15 23:59:09,1298,36,2,"GIVEAWAY! WIN 1 BNB.
To participe: 
-RT &amp; Fav
-Tag 3 persons
-Leave us your wallet (Binance Smart Chain) https://t.co/yQp5jODZfM"
1382845976809938945,2021-04-15 23:59:07,1333,172,44,"🎉 Follow us, Retweet &amp; Like this tweet, write BNB address (BEP20 format) in the comment to get free 1 #BNB!
💣 We giveaway 20 #BNB to lucky 20 participants!

https://t.co/zGu769aMbF

#BSC #DeFi #Vaults #crypto #cryptocurrency #giveaway #freecoins #Airdrops #Bounty #giveaways https://t.co/MuBJYj6Udf"
1382845952101384192,2021-04-15 23:59:01,13387,268,48,"I will give $1,000 to 10 Random Followers ( $100 each) when i reach 50k Followers❤️

Just Like, Retweet this
and Follow Me🔔

Tag Your Friends 🍀

#BNB  #Bitcoin"
1382845947785396227,2021-04-15 23:59:00,1298,662,357,"GIVEAWAY! WIN 1 BNB.
To participe: 
-RT &amp; Fav
-Tag 3 persons
-Leave us your wallet (Binance Smart Chain) https://t.co/yQp5jODZfM"
1382845945591648258,2021-04-15 23:59:00,708,148,82,"More amazing. Gas fee dropped by half, then #BNB price doubled again. 😆

Not financial advice. https://t.co/0XiRa6mOc9"
1382845922762125316,2021-04-15 23:58:54,31,1201,100,"2 years ago the normies where laughing at me and told me crypto was done.

The same normies asking me what they should buy now

#few

#BTC #BNB #ETH https://t.co/EXPfZJoFaL"
1382845907973079043,2021-04-15 23:58:51,0,6,687,"@fl0mtv @ESEA @TriumphGamingGG third times a charm, cheers lol"
1382845896178679808,2021-04-15 23:58:48,3334,818,34,🔥 $100 to someone who retweets this and follows @krypterra with 🔔 on in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #DeFi #NFT #NFTs
1382845890914754561,2021-04-15 23:58:47,8142,67,10,"Airdrop round #2 is live now

🔹1 KP0R = 500 USD
🔸For Joining- Get 0.01 KP0R
⭐ For each referral- Get 0.001 KP0R
🔗Link: https://t.co/k3z4M0arSf

👉 Dont miss to join our ico: https://t.co/R6qYtxIpfq

#liquidity #defi #airdrop #Farm #BNB #NFT #bsc #BinanceSmartChan #kp0r #stak https://t.co/NeKH9rrvXC"
1382845871113519107,2021-04-15 23:58:42,4162,243,16,"I will Giveaway 2000 Dogecoins
To 2 Followers ( 1000 Each ) 

Just like, Retweet and be
Following me 🔔

Tag your friends ❤️

#Bitcoin #dogecoin #BNB"
1382845862045491203,2021-04-15 23:58:40,4162,264,105,"I will Giveaway 2000 Dogecoins
To 2 Followers ( 1000 Each ) 

Just like, Retweet and be
Following me 🔔

Tag your friends ❤️

#Bitcoin #dogecoin #BNB"
1382845851786125317,2021-04-15 23:58:37,0,3076,8869,@CryptoCobain @PsychonautAndy @UpOnlyTV ok sent him 1 bnb tyty https://t.co/tuVxt1mUC9
1382845845675118594,2021-04-15 23:58:36,221,1317,45,"🎁I'm giving $50 in #BNB to one lucky winner🎁

𝐑𝐓 &amp; 𝐅𝐨𝐥𝐥𝐨𝐰 @Crypt0mummy + @FEGtoken 🦍

1⃣ Visit https://t.co/tY4wBx900c
2⃣ Search FEG #BSC 
3⃣ Tap the star🌟
4⃣ Press good😃
5⃣ Post here proof🔍

#Crypto #CryptoNews #FEG $FEG #Binance #Altcoins #DeFi #FEGarmy #FegEx https://t.co/YJ8cZpyhAB"
1382845833561862148,2021-04-15 23:58:33,3254,628,435,🥞 $100 in $CAKE to someone who retweets this + shows proof of 🔔 in 24 hours 🥞 $BNB #BNB #BSC #Binance #BinanceSmartChain
1382845832064598019,2021-04-15 23:58:33,246,762,93,"#NationalHighFiveDay ✋

Comment your best High five gif

Don’t accidentally slap our face😂

#BNB  #JUL #JULD 💎

🔥🚀https://t.co/DVDTVgG6z2 https://t.co/iNljWKqZhC"
1382845824938303489,2021-04-15 23:58:31,4162,173,3,"I will Giveaway 2000 Dogecoins
To 2 Followers ( 1000 Each ) 

Just like, Retweet and be
Following me 🔔

Tag your friends ❤️

#Bitcoin #dogecoin #BNB"
1382845816201613313,2021-04-15 23:58:29,4036,1390,205,"I will give $50 to 2 Random Followers ($100 in total) in few hours

Just Like, Retweet this
and Follow Me🔔

Tag Your Friends + #BNB"
1382845815962615808,2021-04-15 23:58:29,2498,2254,39,🔥 $100 to someone who retweets this and follows @FEGtoken + @_Russell_Mc in 24 hours 🔥 $BNB #BNB #BSC #Binance #BinanceSmartChain #NFT #DeFi https://t.co/OYeYuGlFPP
1382845815748661248,2021-04-15 23:58:29,1239,1260,129,"🏆April 19th, EN landed on @Mdextech and @HBTCOfficial 

⏳On April 26, EN liquidity mining was launched

🚀On May 10, landed on BSC and launched @PancakeSwap EN/BNB

#Heco #BSC 🔝 https://t.co/O2ZTFmAu2p"
