Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1379584616491843584,2021-04-06 23:59:38,8,1915,656,The 0.01% that didn't use Chainlink price feeds during the flash crash got hacked.
1379584473457516546,2021-04-06 23:59:04,0,542,120,"""@FarmerBrownDeFi, an experienced yield farmer, $LINK enthusiast &amp; @DraculaProtocol member, sat down to talk the past, present, and future of #DecentralizedFinance with us.""

@DeFiFry @CryptopherRobn @DeFiExpectation @chainlink $DRC $ETH #Ethereum #defi

https://t.co/C7D9aZ2CKQ https://t.co/VHWWhPn9sc"
1379584392801050624,2021-04-06 23:58:45,299,402,148,Soon $LINK will be stealing the show. Retweet if you agree #Chainlink https://t.co/vryxaNDni2
1379584343778029568,2021-04-06 23:58:33,9,591,1101,"Oh okay. Chainlink has never thought about privacy I guess...

#API3 the ""First fully GDPR-compliant oracle solution for blockchain applications"" - ON TESTNET

Chainlink $LINK #GDPR #DECO #Mixicles #TownCrier https://t.co/My6OuPxaUM https://t.co/YIXB7NDBQx"
1379584292615905282,2021-04-06 23:58:21,96,86,151,"🏷️ Decentralized borrowing protocol @LiquityProtocol integrates @Chainlink’s ETH/USD Price Oracle on mainnet to price collateral. This allows Liquity to create a reliable &amp; tamper-proof mechanism for issuing loans.

⬇️DETAILS:
https://t.co/TeJVp61Xjl

 #ERC20_NEWS https://t.co/W11QaA9Lu9"
1379584240757612547,2021-04-06 23:58:09,100,86,151,"🏷️ @ether_cards will use @Chainlink as its go-to oracle solution for empowering users to create dynamic #NFTs—unique tokens triggered by real-world events that enable innovative use cases like auto-repairing sports cards.

⬇️DETAILS:
https://t.co/NLd0KwMCoQ

 #ERC20_NEWS https://t.co/LateeVLm3s"
1379584215570857985,2021-04-06 23:58:03,3,3,49,"Big things are happening on Chainlink today. 🔥🚀

#Bitcoin #BTC #Crypto #Cryptocurrency #Ethereum #Dogecoin #Ripple #Link #Chainlink $LINK https://t.co/R8Slk2IBBW"
1379584190304419842,2021-04-06 23:57:57,3,18671,18891,"Big things are happening on Chainlink today. 🔥🚀

#Bitcoin #BTC #Crypto #Cryptocurrency #Ethereum #Dogecoin #Ripple #Link #Chainlink $LINK https://t.co/R8Slk2IBBW"
1379584146427809795,2021-04-06 23:57:46,3,20360,53891,"Big things are happening on Chainlink today. 🔥🚀

#Bitcoin #BTC #Crypto #Cryptocurrency #Ethereum #Dogecoin #Ripple #Link #Chainlink $LINK https://t.co/R8Slk2IBBW"
1379584079952236550,2021-04-06 23:57:30,3,53761,71893,"Big things are happening on Chainlink today. 🔥🚀

#Bitcoin #BTC #Crypto #Cryptocurrency #Ethereum #Dogecoin #Ripple #Link #Chainlink $LINK https://t.co/R8Slk2IBBW"
1379584013577388036,2021-04-06 23:57:14,0,214,6197,"@karl_imaginues I got caught up in the ICO Craze of 2017. I already owned Bitcoin and Ethereum and had a basic understanding of their respective capabilities. When #Chainlink materialized, I knew that my life was about to change, significantly.

$LINK - God’s Protocols, 3 Core Pillars. https://t.co/zR9oDbsWP5"
1379583924070805504,2021-04-06 23:56:53,96,373,130,"🏷️ Decentralized borrowing protocol @LiquityProtocol integrates @Chainlink’s ETH/USD Price Oracle on mainnet to price collateral. This allows Liquity to create a reliable &amp; tamper-proof mechanism for issuing loans.

⬇️DETAILS:
https://t.co/TeJVp61Xjl

 #ERC20_NEWS https://t.co/W11QaA9Lu9"
1379583903644663812,2021-04-06 23:56:48,0,428,58,"@ChainLinkGod @API3DAO @cburniske @chainlink Dump Link, Buy API3 nuff said"
1379583793158352900,2021-04-06 23:56:22,0,179,29,@TomBrady @tombradyupdated Chainlink powers verifiable random nfts. It is essential to blockchain NFT creation
1379583752960098308,2021-04-06 23:56:12,0,452,275,Chainlink $link finally making some movement.  Love it.  Probably #Grayscale related but who cares. https://t.co/KnPTgPymvB
1379583647683129349,2021-04-06 23:55:47,5,243,240,"@mickalamasse1 @chainlink @Keeper_DAO @NexoFinance @SushiSwap Come on guys ! #tacoswap 
@chainlink @NexoFinance @Keeper_DAO 
Go -&gt; https://t.co/TvQZbMv8jQ 🤝🚀🌶"
