tweetcreatedts,retweetcount,following,followers,text
2021-03-15 06:28:04,11,88,23,"Good morning! Just checked #Coinmarketcap and #hot #holo is number 64!!! 
#Holochain 

#btc #ADA #eth #zil #VET #Doge #CHZ #XRP #XVG #TRX #RVN #CMT #RDD #link #DGB #glm #pac #sha #req #DOT #NEO #Nuls  #STMX #NPXS #FET #UNI #TEL #BTT #HBAR #ZRX #SNT #MANA #one #HBAR #Luna #ATOM"
2021-03-15 06:27:37,11,5491,6251,"If #Bitcoin can hold $58,000 as support, #altcoins like $ETH, $VET, $XMR &amp; $FTT may resume their uptrend and hit new highs this week.

Here's a @Cointelegraph read on the top #cryptocurrencies to watch out for!

https://t.co/FpL6s61U2g

#BTC $BTC $ETH #ETH #Ethereum #crypto $dot"
2021-03-15 06:25:07,1,480,49,"$ETH  If the daily candle closes above 2k, it will easily cross 2500$ mark. Keep an eye on it.

Checkout the link in bio for crypto signals

$IDEX $DOT $ATOM #bitcoin $MATIC $ZRX 21294 https://t.co/S5STG9rsfg"
2021-03-15 06:24:41,1,76,7,"📢#MCS #Derivatives products price updates📢

$BTC: &gt;$50,619
$ETH: &gt;$1,892
$XRP: &gt;$0.44
$LTC: &gt;$221
$DOT: &gt;$38
$BCH: &gt;$571
$ADA: &gt;$1.06
$LINK: &gt;$29
$XLM: &gt;$0.39
$NEO: &gt;$40
$LUNA: &gt;$15.79
$KLAY: &gt;$3.43"
2021-03-15 06:24:37,29,32,2,I'm one of the lucky early adopters that got the opportunity to buy $ETH below $2000 and $DOT below $40.
2021-03-15 06:23:24,0,1123,117,When you buy the dip $BTC $ETH $LINK $LTC $UNI $SUSHI $DOT $ORAI $PAID $SUPER $LPOOL $POLK https://t.co/46PWHTvbz4
2021-03-15 06:23:04,22,123,9,"#holo number 73 on #Coinmarketcap right now!!! #hot #holochain 🚀 

#btc #ADA #eth #zil #VET #Doge #CHZ #XRP #XVG #TRX #RVN #CMT #RDD #link #DGB #glm #pac #sha #req #DOT #NEO #Nuls #IOTA #IOST #STMX #NPXS #FET #UNI #TEL #BTT #HBAR #ZRX #SNT #MANA #one #DeFi #DeWeb #HBAR #LUNA"
2021-03-15 06:22:46,5,169,0,"@LukasBialecki @chasethewin @danreecer_ @bitfalls @DonnieBigBags Thx, i try to do my Best to educate, inform and stay up to date with all development of @Polkadot and @kusamanetwork ecosystem

What is most exciting, everyday is a lesson and a chance to gain experience and explore this endless ecosystem as internet of blockchains. 

#DOT #KSM https://t.co/x2YavzK5QB"
2021-03-15 06:21:36,2,1191,1700,"#EGLD Has to be said again:

EGLD has a 30 million coin max cap (likely lower).
EGLD has not even been out for 2 years.
What happens when holding positions increase with time?

.....

Hasn't clicked yet?

$EGLD

$BTC | $ETH $BNB $ADA $DOT $LTC $LINK $XLM"
2021-03-15 06:21:33,492,719,159,"Our next POW block halving is 576,006 currently 250,291 about 6 months away, all #SHA256 miners are welcome to our network! $Martk #Martkist  #socialmedia #Faucet #Binance #Bitcoin #Cryptohuge #Cryptonews $band $eth $link $coti $doge $btc $defi $algo $dot $cro $ocean $ast https://t.co/P1Uj7x5lH8"
2021-03-15 06:20:15,0,0,518,"Top 10 cryptocurrencies price update 1hr 
 
$BTC $ETH $BNB $USDT $DOT $ADA $XRP $UNI $LTC $LINK https://t.co/d2SoaSl0hI"
2021-03-15 06:18:20,0,63,23,"$MATIC 
🔥🔥🔥🔥🔥

$Xrp $Xlm $doge $oxt $nu $grt $pdao $easy $vet $link $dot $ada $chz $one $bmi $enj $ramp $ern https://t.co/Ad1AVzTxKK"
2021-03-15 06:17:52,3,25,8,"So who’s got €1,250?? Let’s push this to another flash sale! 

#CoinMetro $DOT $KDA $XCM #Crypto $BTC $ETH $XRP $BCH $LINK #parsiq $QNT $PRQ $VXV $DNA $OCEAN #bond #investing 

https://t.co/deYcWLs0Yn https://t.co/jqnrq5BpSK https://t.co/zf6Ok73R7J"
2021-03-15 06:17:31,0,508,1718,"@LarryLogical There is 3 charts that I look at together, ALL the time. $LINK $UNI and $DOT
All three very bullish.
Of the three Link has the flatter trajectory or CFork, which can change. It is just time that is needed."
2021-03-15 06:17:18,1,102,10,"C'mon $HOT YOU CAN DO IT $0.01

#Holo #Holochain #Hot 

#cryptocurrency #CryptoNews #Crypto #DeWeb #BTC #ETH #VET #XLM #xrp #Link #ZIL #dot #DOGE #XVG #ADA #FTM #UNI #Sushi #Cake #ORN #RDD #RVN #Hai #Pac #ATOM #AION #nano #OGN #Storj #mith #FET #STMX #DGB #REQ #AAVE #Mana #LTC"
2021-03-15 06:17:16,0,138,26,"Load some $avax , by the end of march , $AVAX will add #NFTs + Stable coins and that will sky rocket it 🚀
Don't miss to buy it at range from 23 to 30 

$SFP $DASH $BTCST $ICX $QTUM $CTK $OMG $LSK $ada $dot $pnt $nkn $doge $btc $eth $ltc $etc $grt $trx $bch $bnb $Chz $front $xrp"
2021-03-15 06:17:02,27,338,73,"When people ask me why $ATOM is better than $DOT I just say look at the #BPC (Blockchain comparison technology) — $COSMOS has “EVERY” box ticked

#POLKADOT just has a lot of PLANNED stuff that “might”eventuate

I prefer actions over words 😉

#ATOM mc should be $40B+ right now. https://t.co/HEvxXNs9p3"
2021-03-15 06:15:57,4,2508,1626,"OH MY GOD 🤣🤣 ANOTHER ATH AGAIN? 

#Holo #Holochain #Hot 

#cryptocurrency #CryptoNews #Crypto #DeWeb #BTC #ETH #VET #XLM #xrp #Link #ZIL #dot #DOGE #XVG #ADA #FTM #UNI #Sushi #Cake #ORN #RDD #RVN #Hai #Pac #ATOM #AION #nano #OGN #Storj #mith #FET #STMX #DGB #REQ #AAVE #Mana https://t.co/bVdLCA31lQ"
2021-03-15 06:15:42,78,744,35,"Wishing Everyone a Happy New Year !!

🎁 New Year Welcome Gift From $DOT 

🎉 70% Run in 3d
😊 Trading at $8
💵 In the past 4 months $DOT did 3x
👍 Still undervalued fill your bags with $DOT

 #DOT @Polkadot"
2021-03-15 06:15:39,34,84,4,"Well, if $DOT is heading to $350, then $ADA is going to hit $5 easy. 

I feel like 2017 Dave is back."
2021-03-15 06:14:29,0,1,3167,"🔄 Prices update in $USDT (1 hour):

$BTC - 59288.39 $      (-0.5 %)
$ETH - 1845.18 $       (-0.68 %)
$DOT - 37.44 $         (-1.44 %)
$ADA - 1.04 $          (-0.94 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
2021-03-15 06:12:47,65,589,339,"I didn't buy $ETH at $150.

I didn't buy $DOT at $3.

I made sure to buy $HTR below $1.

Few."
2021-03-15 06:12:26,1,215,521,"BTC Sentiment (Price $54300)

What's next for Bitcoin? 

$ETH $XRP $LINK $COMP $ADA $UNI $AAPL $TSLA $AMZN $SPY $QQQ $CRV $GLD $ALGO $NVDA $REN $ALPHA $VET $UPS $AVAX $SNX $FB $CCL $AMD $F $AAVE $YFI $SUSHI $EGLD $NIO $DOT $ENJ #OOTT #DDTG #crypto #news #ethereum #bitcoin https://t.co/dIuyAZvhf8"
2021-03-15 06:12:20,2,67,1,"So to wrap it all up, substrapunks: 
- are The OG $DOT/ $KSM #NFT
- Built by chad NFT developers who are going to launch an epic NFT blockchain
-  Have gone From free to 5 figures 
- Are still cheap / unknown relative to Eth #NFTs 
- &amp; have an epic community

💃💃🕺🕺🔥🔥 Thanks https://t.co/6Jbm7L1nX1"
2021-03-15 06:11:58,27,145,43,"Gavin and Charles helped bring $ETH to life, so why wouldn’t I want to get into $ADA and $DOT?"
2021-03-15 06:11:30,0,1,4633,"🔄 Prices update in $EUR (1 hour):

$BTC - 49488.1  € (-0.77 %)
$ETH - 1544.05  € (-0.61 %)
$DOT - 31.31  € (-0.71 %)
$ADA - 0.87  €  (-1.09 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
2021-03-15 06:10:55,0,535,65,"High Cap $DOT
Mid Cap $KSM
Low Cap $BLZ
SUPER LOW MEGA PUMPER CAP $HOGE

#wallstreetbets #Bitcoin

$BTC $ETH $LTC $LINK $BCH $XLM $AAVE $UNI $EOS $SNX $ATOM $XTZ $MKR $COMP $FIL $UMA $DASH $GRT $CAKE $DOT $KSM $BNB $CAKE $BLZ $RVN"
2021-03-15 06:10:17,12,3,0,"#SORA is much more than just your average run-of-the-mill project. @Sora_xor aims to build a New Economic Order where centralization and selfishness are abolished in exchange for decentralization and dynamism.

#KUSAMA #POLKADOT $XOR $VAL $PSWAP $KSM $DOT https://t.co/24DVv9Akim"
2021-03-15 06:09:53,12,519,151,"Which altcoin pullback are you looking at? 
I've got $SRM and $DOT on my list."
2021-03-15 06:09:09,0,45,206,"@YFII_SCAM1 DFI MONEY $YFII Yield Aggerator Champion! The Best There is, The Best There Was &amp; The Best There Ever Will Be. Only 39,999 Coins. Unlike yearn finance yfi DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECOCHAIN $ETH $FLOW $DOT https://t.co/DyhNPdvIFX"
2021-03-15 06:08:45,0,169,1110,"Coins to watch now
$HBAR
$ATOM
$ALGO
$SOL
$DOT"
2021-03-15 06:08:40,0,45,206,"@YFII_SCAM1 DFI MONEY $YFII Yield Aggerator Champion! The Best There is, The Best There Was &amp; The Best There Ever Will Be. Only 39,999 Coins. Unlike yearn finance yfi DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECOCHAIN $ETH $FLOW $DOT https://t.co/vyATf3qiJS"
2021-03-15 06:08:13,0,45,206,"@YFII_SCAM1 Okay ANDRE CRONY DFI MONEY is undervalued &amp; 10x cheaper $YFII is better Yield Aggerator! ANDRE CRONY is the TITANIC, DFI has 39,999 Coins. Unlike yearn finance yfi ANDRE is scared DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECO $ETH $FLOW $DOT https://t.co/7IRKJZ0uiq"
2021-03-15 06:07:44,0,45,206,"@YFII_SCAM1 @qVBYORDAr7SBlbz DFI MONEY $YFII Yield Aggerator Champion! The Best There is, The Best There Was &amp; The Best There Ever Will Be. Only 39,999 Coins. Unlike yearn finance yfi DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECOCHAIN $ETH $FLOW $DOT https://t.co/19JPU415Rl"
2021-03-15 06:07:40,1,5,0,"$hot is addicted to hits ATH 😜🤑 
#Holochain $eth $ada $link $dot $luna $swth $tomo $npxs $trac $zil $icx $atom $bnb #altcoins #buybitcoin #Ethereum #GRT #PancakeSwap #ido #ern $ern #Huobi #0x #AAVE #algordand #1INCH #Ath #Bitcoin2021 #buythedip #BTT #DeFi"
2021-03-15 06:06:56,0,45,206,"@YFII_SCAM1 @qVBYORDAr7SBlbz DFI MONEY $YFII Yield Aggerator Champion! The Best There is, The Best There Was &amp; The Best There Ever Will Be. Only 39,999 Coins. Unlike yearn finance yfi DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECOCHAIN $ETH $FLOW $DOT https://t.co/ljiyN718WN"
2021-03-15 06:06:00,0,15,3378,"Just 1 hour away until new #LaserSwapV1 farming pools! Get ready to mint $LAS with your $AUTO, $LINK, $VAI and $DOT! https://t.co/7J63KtRqLN"
2021-03-15 06:05:25,0,45,206,"@YFII_SCAM1 @DfiMoney Okay ANDRE CRONY DFI MONEY is undervalued &amp; 10x cheaper $YFII is better Yield Aggerator! ANDRE CRONY is the TITANIC, DFI has 39,999 Coins. Unlike yearn finance yfi ANDRE is scared DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECO $ETH $FLOW $DOT https://t.co/Tu9WkPadVU"
2021-03-15 06:04:29,0,45,206,"@YFII_SCAM1 Okay ANDRE CRONY DFI MONEY is undervalued &amp; 10x cheaper $YFII is better Yield Aggerator! ANDRE CRONY is the TITANIC, DFI has 39,999 Coins. Unlike yearn finance yfi ANDRE is scared DFI MONEY is on #BNB #BSC #BINANCESMARTCHAIN $HECO $ETH $FLOW $DOT https://t.co/ywlL1kkZqg"
2021-03-15 06:03:56,16,795,3925,"So $HTR just started its rally.. this thing will drop some jaws😱💯.

Easy run to 10$ &amp; then onwards to $DOT's market cap. You gotta understand that this project is able to create a #blockchain environment without you paying for fees..

Sick TECHNOLOGY!💎
$DOT $ETH $ADA $SOL $UNI https://t.co/psEKGpA6eE"
2021-03-15 06:03:32,0,17,104,It’s officially meme coin season $grumpy will help lead the way $link $feg $rfi $ogn $btc $dot $unn $dot $rbc $albt $hoge $doge $kangal $bunny hold my cat nip https://t.co/HLQEuxA0gc
2021-03-15 06:03:23,0,1305,757,"Earn Omni Coins for creating content, doing challenges, sharing content with friends and much more. Use Omni Coin to tip your favorite creators, and buy products from in-app stores. Remarkable project.Great idea, very strong team. 
#OMNI #Blockchain #cryptocurrency  #DOT"
2021-03-15 06:03:06,15,795,3925,"This top 10 will change soon &amp; I'm pretty sure @HathorNetwork will be among the ones that will be in soon.

$HTR belongs among killer projects like $BNB, $LINK, $ETH, $DOT, $ADA.

This is the most underrated project you wish you bought, just like you did with those projects. https://t.co/SrAGUV3wBp"
2021-03-15 06:02:45,0,131,3256,"Check the latest #cryptoprice index 
$BTC $59,250.79
$ETH $1,842.91
$BNB$260.56
$DOT$37.17
$ADA$1.04
$XRP $0.43
$UNI $30.61
$LTC  $214.24
$LINK$28.15

Trade for free through #Executium on @HuobiGlobal @binance @OKEx @bitfinex @krakenfx @Bitstamp @BittrexExchange https://t.co/BkQzi1W1ZM"
2021-03-15 06:02:32,3,170,15,"Loaded up on $YLD at the trendline retest.

Have a feeling this will age well.

By far the most undervalued lending platform out there.

Let's go.

$HTR $ETH $DOT $KSM $TRB $MPH $DOWS $DAOFI $UNN $UDO https://t.co/kRDfQr3d1j"
2021-03-15 06:00:03,0,11,29,"Current 24h-performance of core #cryptos: 
#BTC: 59,027.0 (-3.22%)
#ETH: 1,841.8 (-3.0%)
#BNB: 260.31 (-3.62%)
#DOT: 37.371 (0.35%)
#XRP: 0.4398 (-3.24%)
#LTC: 214.22 (-3.59%)
#LINK: 28.171 (-4.28%)
#XLM: 0.3885 (-2.62%)"
2021-03-15 05:59:35,0,536,101,@CryptoMichNL $LINK $ADA $BNB $DOT $WAVES
2021-03-15 05:58:59,97,2115,91,"$EROWAN $ROWAN crossed over $1 today!

-Built on Cosmos $ATOM SDK
-World 1st OMNI Dex and 100x times faster and cheaper than current ERC-20 DEXs
-Will integrate all major 25 blockchains

Team from: Coinbase, $ATOM, $Flow, Polka $DOT, $RUNE, $ADA, $XTZ https://t.co/HhVQgFMZV3"
2021-03-15 05:58:44,0,56,13,Volume increasing. $KAI is booming. Partnerships every other day. Mass adoption is happening. Non-invasive interoperability. $KAI WILL EAT $DOT 's LUNCH AND EVERYONE ELSE'S. YOU THOUGHT $DOT WAS GOOD FOR INTEROPERABILITY? TRY $KAI. $KAI TO $3+ EOY. CHANGE MY MIND FOOOOOOLSSSSSS https://t.co/i5PlsSYIhn
2021-03-15 05:58:08,0,57,6,@CryptoMichNL $Dot and $Zil please
2021-03-15 05:57:03,4,4216,1848,"Our rebrand is on another level 😍😍😍😍😍😍😍 getting ready to serve Africa. Sign up now https://t.co/64j6F2hjWd

#DafriXchange #DafriBank #Africa #DBACurrency #cryptocurrency $BTC $ETH $DOT $DOGE $XRP $LINK #BSC $DBA #SouthAfrica #Nigeria #Botswana #Kenya #digitalbanking https://t.co/5M5CLiIMkV"
