Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1371974495767040000,2021-03-16 23:59:44,0,547,69,"@AltcoinDailyio Zombie chain, no real use lol 
All eyes on $DOT"
1371974201112985600,2021-03-16 23:58:34,0,1,3256,"🔄 Prices update in $USD (1 hour):

$BTC - 56855.8 $  (+0.8 %)
$ETH - 1806.83 $  (+0.94 %)
$DOT - 35.48 $    (+2.21 %)
$ADA - 1.25 $     (+2.24 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
1371974058401792006,2021-03-16 23:58:00,0,353,21258,What do you think is most relevant in the market  price trends of $DOT?
1371973775688802306,2021-03-16 23:56:52,5,843,373,"🔊 @polkadex ; Founders of #Web3 #podcast with
@vivekprasannan speaking to @jamie247 on:

🔴 @Polkadot
💱 #DEX and #DeFi

🎧 Listen here: https://t.co/EsM7KWROSq

#Layer2 #Polkadot $DOT prod: @dComms_ https://t.co/XPovEzqcva"
1371973754805350404,2021-03-16 23:56:47,0,1960,800,"$DOT making a great mi e to upside as well, great volume for $DOT and more flowing in. $ADA going to pump obviously, which means $DOT might see a small rally as well."
1371973540694654983,2021-03-16 23:55:56,0,113,235,"Does that mean it’s #ALTSEASON 

$aave $dot $ocean $link $bank #gth https://t.co/pwIsO4Rp8f"
1371973322389471236,2021-03-16 23:55:04,0,139,19,Im not missing $KONO aka the $AAVE of the $DOT Ecosystem.  I rode $mxx from 0.01 and I will ride this one too 🚀
1371972760306524163,2021-03-16 23:52:50,0,1900,720,"@cryptoworld202 Definitely that is $INFI💰🚀

‼️@InsuredFin -P2P insurance on $DOT by an experienced korean team

💥Launched Staking and Lending
💥Already released the #Intelligent #Insurer Protection Against Market Volatility 
💥Partnering with @CashTechDeFi
💥Hold 10000 $INFI for the best deal"
1371972710755045377,2021-03-16 23:52:38,0,37,60,$tel is getting sent today boiiiiii $hbar $dego $vra $bepro $dot $btc $eth get on kucoin before it’s too late
1371972413576073218,2021-03-16 23:51:28,0,116,32,"$DOT is bullish. 
Target at $38.2"
1371971570441261058,2021-03-16 23:48:07,0,695,75,@CryptoRolly $DOT not listed yet!? $ADA know bout this... https://t.co/kQ1nxpLRJ5
