Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1373785181618905090,2021-03-21 23:54:45,0,215,41,@LucaLand97 @Gecko_Trader But will the NYAG pull the rug? It's the easiest thing in the world for Tether to cook up some 'loan documents' from one of their exchange ponzi buddies to plug the hole in their reserves. Thus the farce continues indefinitely...
1373783702652776451,2021-03-21 23:48:53,0,93,32,"@jimdelisle @LynAldenContact Tether is unlikely to be ""taking $1"" (other than in infinitesimal amounts if at all). We're not in 2017. More plausible they print USDT and swap it for BTC. No dollars involved. That's why they can keep going: regulators can't cut your access to dollars when you don't have any."
1373783533509038080,2021-03-21 23:48:12,0,903,124,"There’s been a subtle shift in Mike Green’s take on #bitcoin. 

First it was going to crash because it was propped up by a fraud (Tether). 

Now it sounds like it’s going to be so successful it’s going to destroy our nation. https://t.co/zyGAIah8qL"
1373783317754097668,2021-03-21 23:47:21,0,1403,925,"@scanlime Here's an article on it, but it's legitimately just a Ponzi scheme:
https://t.co/Knkq5mTHEq"
1373783213517250567,2021-03-21 23:46:56,0,1403,925,"@scanlime And also, the use of Tether is then used to buy massive amounts of Bitcoin, which is then resold for a tidy profit to fiat, which shows heavy correlations between Tether volume and Bitcoin price, but not to organic interest.
https://t.co/AWDXmuJe28"
1373783036295213057,2021-03-21 23:46:14,4,451,29,"Is Tether a SCAM? - Simon Dixon
https://t.co/j8LMW9lceF via @SimonDixonTwitt https://t.co/vbuknYFf8M"
1373782964664987653,2021-03-21 23:45:57,0,1403,925,"@scanlime This, of course, was a lie, and they currently have $40b in Tether circulating. After investigations by the SEC, they claimed that it was 1:1 backed by coins or loans to other companies, and $0.76 was banked per Tether, which was also a lie.
https://t.co/BVhCvY7bsl"
1373782843931910152,2021-03-21 23:45:28,0,4969,12749,@KirkWrites79 @Kaerf1 this yo tether
1373782477999857667,2021-03-21 23:44:01,2,1403,925,"@scanlime Yeah, but Tether is actually just a legitimate Ponzi scheme. Basically, they claimed it was a stable coin (1 Tether could always be bought for $1, and sold for $1 via Tether), and was backed by 1:1 reserves."
1373780959577960449,2021-03-21 23:37:59,0,228,259,"@commentisglee @LynAldenContact I am sure you understand that Tether’s taking $1 and giving 1 USDT to someone using it to buy BTC, while Tether is simultaneously “reserving” that $1 with BTC might raise eyebrows among the less laser-focused set. Can you say reflectivity^2?"
1373780856788152321,2021-03-21 23:37:34,0,1403,925,"@scanlime Yep.... And have you heard the story behind Bitfinex, Tether, and basically artificially inflating the price of Bitcoin by falsifying reserves and then selling it for massive profit? It's all a scam, even if some weren't intended as such."
1373779910469246976,2021-03-21 23:33:48,0,30,6,@lostmyboxers @whale_alert Got paid off by tether to stop the alerts
1373779882912542720,2021-03-21 23:33:42,6,283,178,"""After spending more than $40,000 on legal and immigration fees, and being unable to make long-term plans in Australia or access the NDIS, they are at the end of their tether."" 

Ableism and racism are the heart of so-called Australia. https://t.co/EACd6GkhzJ"
1373779796954583040,2021-03-21 23:33:21,0,618,792,"@kieranmch My view is they acted like this from the beginning. Many are not at the end of their tether, they're just flerfers (who are arguably just people who want to feel part of a cause, they've just picked a daft one)"
1373779604431728640,2021-03-21 23:32:35,0,535,560,"@ThyNinesBest Tether gets me killed 99% of the time whenever I try to use it on a super, and I do everything you’re supposed to, it just takes too long to actually do it’s job"
1373778773200445444,2021-03-21 23:29:17,0,967,1419,"@profplum99 said Tether would be the downfall of #bitcoin 😂😂😂

This guy doesn’t have a clue. He has to bash #bitcoin just so he can get some clicks. Even though he blocks everyone hahaha https://t.co/advkGmxtIA"
1373778658725269506,2021-03-21 23:28:50,0,535,560,"#Destiny2 #XboxShare 
The only time my tether actually works https://t.co/6PBMfWadDW"
1373777928803250181,2021-03-21 23:25:56,0,334,21,@Tether_to Turkish Lira has plunged unusually so tether couldn't sync with it. The actual USD/TRY is 8.16 at the moment but USDT/TRY stuck at 7.65. Please fix it.
1373777445975900165,2021-03-21 23:24:01,0,194,107,"@Thegeordiefaith @AlexBruce84 Alex, not your beef but if you care for him you should let your dad know normal folk have reached the end of their tether and the only solution is Steve Bruce does the honourable thing and resigns"
1373777409200295936,2021-03-21 23:23:52,0,1721,128,"Earn #BTC for free and multiply cryptocurrencies with @cryptosfaucets Enjoy the easy way to get cryptocurrencies! Real rewards:
https://t.co/OktVlJeSpa
https://t.co/gCk6HdbjIw
https://t.co/SKf9saQlsz
https://t.co/0QmX0Tguwn
https://t.co/i2A7tmpDgE
#bitcoins https://t.co/HEaVhvEWzE"
1373776454022885380,2021-03-21 23:20:04,0,29,5,"So tell me again why #tether was delisted during their lawsuit, aka printing press for #btc, but #XRP does? To all exchanges #SEC isn't going to come after you, so what are you waiting for! #RelistXRP 
@coinbase @binance @BinanceUS 

Lets get this party started!!!"
1373776299756556288,2021-03-21 23:19:28,0,50,288,"1: Bitcoin price is $57448.70 (-0.75% 1h)
2: Ethereum price is $1785.80 (-1.06% 1h)
3: Binance Coin price is $264.04 (-1.15% 1h)
4: Tether price is $1.00 (-0.05% 1h)
5: Cardano price is $1.19 (-0.74% 1h)
17: Dogecoin price is $0.06 (0.41% 1h)"
1373775815117275136,2021-03-21 23:17:32,0,879,1935,"Just read an otherwise decent article marred by the expression ""at day's end"". As Clive James said, it's the sort of would-be lofty construction that brings the reader to tether's end."
1373774034975006720,2021-03-21 23:10:28,0,1674,2413,"During practice, I was chasing a soccer ball down a hill at sunset (at full speed), and ran smack into a tether ball pole. I have a large goose egg on my forehead after all these years. (Happened back in 1985 or 86) https://t.co/DAydRJiH3w"
1373772957848330240,2021-03-21 23:06:11,0,236,163,@XRPcryptowolf It's gonna be tether😂😂
1373772814516432896,2021-03-21 23:05:37,0,892,355,Herkenbaar !! 🌍 World At End Of Tether 😡 60+ MPs Want Our Human Rights Returned 🤦‍♂️ https://t.co/0VQOTkgmyq via @YouTube
1373772766499995648,2021-03-21 23:05:25,0,93,32,"@jimdelisle @LynAldenContact Tether's current claim is having random assorted assets worth ""100%"" of the issuance. Every print is swapped for something, presumably crypto (dollars lol). Given price of crypto relative to historical prints, stash likely &gt;100%. Might melt one day, but currently... 😂"
1373772666176471043,2021-03-21 23:05:01,0,56,118,"Hourly Price Alert: BTC dropped by -1.52% to $57,842.00. LTC dropped by -2.72% to $197.00. ETH dropped by -2.16% to $1,799.00. USDT dropped by -0.99% to $1.00. 24hr Change. Your move! #Bitcoin #Litecoin #Ethereum #Tether"
1373772100264157188,2021-03-21 23:02:46,0,146,109,@GaniyuTLG @TILTSH1FT @Tracy_Maloney2 Tether?
1373771496586313728,2021-03-21 23:00:22,0,0,3781,"Tether - USDT
Price: $1.00
Change in 1h: -0.00650391%
Market cap: $39,568,691,655.47
Ranking: 4
#Tether #USDT"
1373771488319377408,2021-03-21 23:00:20,0,0,2054,"Top 5 Cryptocurrencies - Current Prices

$BTC: $57,786.36 - Bitcoin 🔻 -0.12%
$ETH: $1,797.61 - Ethereum 🔻 -0.21%
$BNB: $265.25 - Binance Coin 🔻 -0.57%
$USDT: $1.00 - Tether 🔻 -0.01%
$ADA: $1.20 - Cardano 🔻 -0.19%"
1373771113562509316,2021-03-21 22:58:51,150,200,31,"Are Your Funds Safe?

During July 2019, Callisto Network Security Department conducted the #Tether(USDT)  smart contract security audit.

Here is the report:
📌https://t.co/nRTcnpQn1u

$USDT #SmartContract #AuditedByCLO $CLO https://t.co/t5iLDJatSO"
1373769644658528262,2021-03-21 22:53:01,0,58,460,"This is their bullrun

Institutions are buying bitcoin

But the mafia is longing all the alts

FTX , Binance,  Bitfinex and Tether the biggest mafia ever

This is their Bullrun. They run the game.

$btc $eth $ada $trx $uni $sushi $SNX $matic $xrp $sxp $sol $vet $doge $algo $nano https://t.co/ZoNzrsyqc8"
1373769370997035008,2021-03-21 22:51:56,33,411,82,"💵 💵 💵 💵 💵 💵 💵 💵 💵 💵  

750,000,000 #USDT (743,609,603 USD) minted at Tether Treasury

ANOTHER BILLIONAIRE OR MAYBE EVEN @GOOGLE IS BUYING #BITCOIN"
1373768820914061312,2021-03-21 22:49:44,0,826,209,"@crasl7 @RiskIndemnity @CookieCryptoMo1 @ahcastor Nobody is cashing out. It’s like any other ponzi. It works for a while until there’s some catalyst. Whilst prices keep going up, nobody redeems. What the same with Madoff and will be the same with Tether."
1373768593234595840,2021-03-21 22:48:50,0,328,6469,"Even though anti-lockdown protestors are irresponsible and dangerous, increasingly I find myself empathising with them. Not agreeing, just understanding why they might be at the end of their tether with no other way to express their feelings."
1373767032034975746,2021-03-21 22:42:38,0,217,329,"@YayoMTL Well shulk is near unwinnable on the face of it thanks to shield, he can activate shield during a bomb conversion and never die, assuming you get him that far as his neutral is far better as well.

Belmont both outrange and outcamp us Only weakness being their non tether recovery"
1373765817809002499,2021-03-21 22:37:48,0,390,325,@SITHnxghtwng she tongued his tonsils like a tether ball
1373764844697104387,2021-03-21 22:33:56,0,0,83,"🔴 10,000,000 #USDT ($10,011,441) transferred from #compound tether to Unknown Wallet  

 TX: https://t.co/T7aF03tzHG 

 #Blockchain #USDT"
1373764805572636679,2021-03-21 22:33:47,8,19,585449,"🚨  10,000,000 #USDT (10,011,441 USD) transferred from Compound Tether to unknown wallet

https://t.co/dOf2qSK8kO"
1373764798962409478,2021-03-21 22:33:46,0,4,5935,"💰10,000,000 #USDT (10,011,441 USD) move from #compound tether to unknown wallet
 
Date : 2021-03-21 22:32:54 (GMT 0)
Blockchain : #ETHEREUM
Symbol : #USDT
 
Detail: https://t.co/bulUs5rudL"
1373763916325650434,2021-03-21 22:30:15,0,73,95,"@GeekWithFangs « issuing a memory wipe, and it just not working. They've always been thorough with that. Naively, I wanted to believe that it was the tether and connection that he and I shared with one another. The romantic side of me desiring to believe »"
1373763085601759241,2021-03-21 22:26:57,0,2,0,"@CZaknun The framing I think is a bit off, terra UST is an alternative to tether and can exist on any chain. Its a good alternative to tether as well, because if you read the nyag report about tether it certainly eludes to some internal control problems"
1373762893141970951,2021-03-21 22:26:11,0,256,216,"@BlackADOS2 @justhere4fuun @AgainTrav Tether, immigrant, damn how deep is yo daddy Tariq Nasheed’s d!ck down ya throat"
1373762597821030406,2021-03-21 22:25:01,0,484,48,@AlistairHaimes I suspect a lot of the peaceful protesters are hard working folk who are at the end of their tether. Imagine having worked for years building up a small family business to see it slowly go down the drain. It must be awful for them.
1373762357797654533,2021-03-21 22:24:04,0,861,664,"She once had to tether through her phone's data link for like a whole day when I broke something. The world we live in is weird. 

Also her employer is mean and doesn't pay for any of this, natch. Everyone is just expected to have stable and fast internet connectivity."
1373762274217897987,2021-03-21 22:23:44,0,67,37,@justhere4fuun @SituationsK1 @AgainTrav Lmao you’re clearly an immigrant. Black Americans pay TAXES into everything that the government has. That’s what Americans do! But you’re  not an american. You’re a begging tether residing in America instead of their own country 🤣
1373762210485387264,2021-03-21 22:23:28,0,16,2,@Tether_to look at turkish liras.. update it pls
1373761865029943303,2021-03-21 22:22:06,0,186,32,"usdt try parity is flying omg 😱
#USDT #usdttry #Tether #dolar #DolarTL #dolartry"
1373761199708471300,2021-03-21 22:19:27,0,50,288,"1: Bitcoin price is $57857.66 (-0.17% 1h)
2: Ethereum price is $1801.63 (-0.04% 1h)
3: Binance Coin price is $266.17 (0.38% 1h)
4: Tether price is $1.00 (0.03% 1h)
5: Cardano price is $1.20 (0.09% 1h)
17: Dogecoin price is $0.06 (0.26% 1h)"
1373760482667020288,2021-03-21 22:16:36,0,1757,1793,Gone out of my way to be sensitive and now i’ve reached the end of my tether and just think screw it
1373760470767661059,2021-03-21 22:16:34,0,177,161,"@Billy1Birdy @crasl7 Problem is the folks who believe in USD are slightly more influential/powerful than CT.

Finex/Tether/Complicit Exchanges ...
SEC/FED/WEF/IMF ...
Global Finance/Government ..."
1373759961679998977,2021-03-21 22:14:32,1,39815,36367,"A look at the shady aspects of Tether, the stablecoin being probed by SDNY for over a year, widely used to buy BTC and other cryptocurrencies on many exchanges (Medium) https://t.co/1Zx6EwFHrC #technology"
1373759015524708356,2021-03-21 22:10:47,1,87,5,"@crasl7 If tether were to lose it's peg you would expect it to happen during a liquidity event (like March 2020).

If you look at their market cap during that time it swung several $100m intraday on several days.

Does that mean tether printed-&gt;crypto bought-&gt;crypto sold for USD? tbh idk https://t.co/oXEhbwyTTn"
1373758701488640005,2021-03-21 22:09:32,0,840,1403,"@KPDAD72 BTC is slowing down
if Tether dont keep printing then BTC will nose downwards - which is normal , and then traders would start to sell
will have to see what happens. I think it will drop unless Tether MC goes to 42/43B"
1373758018911805453,2021-03-21 22:06:49,0,175,312,@danielmbuchholz @DreadBong0 @terra_money Luna is 5k if UST matches Tether's current mcap. Imagine.
1373757846375034886,2021-03-21 22:06:08,0,970,5791,*tether
1373757148954525700,2021-03-21 22:03:22,0,366,30,@sishengs I hadn’t thought about tether but omg it fits so well
1373757085519859712,2021-03-21 22:03:07,0,98,612,Tether isn’t bitcoin
