Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1382121341357293569,2021-04-13 23:59:41,9,50,8,"$FREE is the future of crypto. We are the coin of the people !!!💎🥂💯

#Freecoin #Bitcoin #Ethereum #XRP #Cardano #ethereumclassic #polkadot #Chainlink #eos #XTZ #XLM #trading #dogecoin #dash #monero #Zcash #aave #Uniswap #crypto #cryptocurrency #altcoin #blockchain 
@elonmusk https://t.co/mICGyjSUvi"
1382121292695015426,2021-04-13 23:59:29,0,0,2,@TrueCrypto28 @dataminenetwork Latest News 😎 UNI Announces 10 000 000 UNISWAP Airdrop @UNISWAP_BONUS21
1382121270821683202,2021-04-13 23:59:24,56,455,34,"It’s official $CEL is now available on:
@OKEx
@bitfinex
@BittrexGlobal
@Uniswap
@FTX_Official
 
#UnbankYourself only on @CelsiusNetwork"
1382121239116877827,2021-04-13 23:59:16,51,0,0,"Thanks for waiting everyone! We are happy to announce that our BYN Token will be listed on Uniswap April 13th, UTC 5:00 PM https://t.co/DBKnKcmw0R"
1382121179310329861,2021-04-13 23:59:02,0,0,2,@SalsaTekila Sumptuously! Uniswap UNI Announces 10 million UNI Airdrop @UNISWAP_BONUS21
1382121167733985280,2021-04-13 23:58:59,0,1611,304,@ecomi_ @Uniswap This is harder than buying normal Omi it’s a waste of Ethereum and a massive headache if the trade fails you lose the eth
1382121142807240704,2021-04-13 23:58:53,204,975,97,"🏦 NYSE: 
2800 trading pairs in 228 years

🦄 Uniswap v2:
36000 trading pairs in 1 year

but hey they made some NFTs 🚀 https://t.co/uTUxhSCidO"
1382121131478503428,2021-04-13 23:58:50,150,66,11,"🔥In the future, all posters can also be minted into NFT, when NFTs platform is launched

🚀NFTs-USDT has been listed on UNISWAP

🔥NFTs Official Token Contract Address is: https://t.co/fwq5ECoPdk

🚀NFTs-USDT Trading Pair: https://t.co/bVLBPI3weu
🚀Like、RT &amp; Tag 3 friends
#NFTs https://t.co/ygtcEKUs4P"
1382121100457480193,2021-04-13 23:58:43,37,132,72,"📢One more listing news, folks!

✅Nimbus is now featured on @tradingview - a top trading charts and analytics platform! 

With big names like Binance🔝employing TradingView for their users, our community should surely win from this!😎

https://t.co/po7HlLCABe https://t.co/Wdcyzq7KII"
1382121008585437185,2021-04-13 23:58:21,0,794,2305,@defipulse @coinbase acquires @Uniswap and shuts it down...
1382120883045724160,2021-04-13 23:57:51,150,3,5,"🔥In the future, all posters can also be minted into NFT, when NFTs platform is launched

🚀NFTs-USDT has been listed on UNISWAP

🔥NFTs Official Token Contract Address is: https://t.co/fwq5ECoPdk

🚀NFTs-USDT Trading Pair: https://t.co/bVLBPI3weu
🚀Like、RT &amp; Tag 3 friends
#NFTs https://t.co/ygtcEKUs4P"
1382120809746067460,2021-04-13 23:57:34,0,58,17,@haydenzadams @DennisonBertram @Uniswap @rleshner @tarunchitra @b_asselstine It's still getting forked 2k years later
1382120627289477121,2021-04-13 23:56:50,0,277,738,@Mashinsky @OKEx @bitfinex @BittrexGlobal @Uniswap @FTX_Official @CelsiusNetwork Is $CEL on @gate_io not official? Thank you. https://t.co/AEgKb69Xdm
1382120507450003461,2021-04-13 23:56:22,56,781,115,"It’s official $CEL is now available on:
@OKEx
@bitfinex
@BittrexGlobal
@Uniswap
@FTX_Official
 
#UnbankYourself only on @CelsiusNetwork"
1382120500265029633,2021-04-13 23:56:20,0,547,414,"@DennisonBertram @Uniswap @rleshner @tarunchitra @b_asselstine @haydenzadams L2 colonies
East and Western Roman empires (protocol forks)
Hadrian's wall for the chains that can't get conquered (defi on native btc - not really true)"
1382120494195965954,2021-04-13 23:56:19,3,1,2,"A little TA for those out there wondering if they should dive into $wenr #bullish

Uniswap: https://t.co/1ph4yt8AME

$feg $grumpy $poodl $grumpy $pipi $kong $jedi #crypto $sqrt $bulba #cryptocurrency #altszn #alt #altcoin #doge #bitcoin $eth $zard $spmk #safemoon $hoge $soge https://t.co/u3CC9c1Wds"
1382120437170245637,2021-04-13 23:56:05,9,1,2,"At 500 holders we will also be hosting what we are calling a Buy Back Burn, where us the admins and dev team buy a percentage of the tokens and burn them! $WENR Don't miss it
https://t.co/BDDOT7bd1q"
1382120245993877512,2021-04-13 23:55:19,76,2,126,"$WISE is the only “Whale-less” 🚫🐋crypto with $250 million+ in liquidity:

1. Ownerless liquidity pool on @Uniswap  (89%)
2. Bridged liquidity for @0xPolygon's DEX (1.76%)
3. Largest liquid $WISE holder (&lt;1%)
4. Bridged liquidity for @harmonyprotocol's DEX (&lt;1%) https://t.co/qYiZUbTysE"
1382120245398274050,2021-04-13 23:55:19,44,8,0,"*GEM CALL Of the Day*

@Bitcashpay1 are developing and developing. They just got listed on Pancakeswap, hitted new ATH there, there is price Action going on Uniswap as well! TOP Crypto Revolution Project for 2021! And a lot of news coming in the next few weeks!
#CryptoRevolution https://t.co/cppuoWWNgT"
1382120229120004096,2021-04-13 23:55:15,7,237,81,"$WQT is listed on @uniswap
Currently trading at 8x from Pvt sale price
Mcap is just 4M$. Grab it while it is still cheap. 

Dextool link:
https://t.co/QGpIDO4adV

Uniswap link https://t.co/2rCw1QqL2Q https://t.co/L8L6IgypTt https://t.co/d76nLrmEzj"
1382120221306019840,2021-04-13 23:55:13,0,77,2,"@Keysercri @Mashinsky @OKEx @bitfinex @BittrexGlobal @Uniswap @FTX_Official @CelsiusNetwork Please look now, did anyone keep saying Tesla have 10000% now? not every get Telsa in cheap like Cel now. New joiner is not thinking from day one, they think “now and futures” . So many price prediction is over $100...i agree their analysis, but still not moving?"
1382120207645356034,2021-04-13 23:55:10,0,1695,3819,@DudesDad123 @thecoinroom Its in my coinbase wallet once I swapped eth for ubt on uniswap . Just need to link the coinbase wallet to uniswap
1382120146785996800,2021-04-13 23:54:56,76,35,4,"$WISE is the only “Whale-less” 🚫🐋crypto with $250 million+ in liquidity:

1. Ownerless liquidity pool on @Uniswap  (89%)
2. Bridged liquidity for @0xPolygon's DEX (1.76%)
3. Largest liquid $WISE holder (&lt;1%)
4. Bridged liquidity for @harmonyprotocol's DEX (&lt;1%) https://t.co/qYiZUbTysE"
1382120092956295168,2021-04-13 23:54:43,13,1481,282,Did you know $DRC is also available on @QuickswapDEX and @Bilaxy_exchange in addition to @Uniswap?  More trading options are coming soon!
1382120010454294528,2021-04-13 23:54:23,5,297,29733,"🎙️ In today's Defiant:

👨‍🌾 @DeFi_Dad explains yield farming on @AlchemixFi in a new weekly series #DefiantDegens
📈 @PancakeSwap overtakes @Uniswap on TVL and trading volume
🛒#DeFi as a consumer product
🖼️ Buyout opens for B20 NFT

Read more here👇
https://t.co/CddlUR0QoW https://t.co/sfA2MHXCHC"
1382120004930375684,2021-04-13 23:54:22,49,244,42,"https://t.co/iZvPxyxyKd PRESALE IS LIVE💰

Visit Website https://t.co/iZvPxyxyKd ,Click ""Buy Tokens"" &amp; Complete ETH Deposit &amp; Tokens Received

📊PRESALE Price:1 ETH= 100 YFRISE($ 18)
📈UNISWAP List Price:1 ETH= 20 YFRISE($ 100)

#NFT #eth #BSC

@cctip_com draw 300 USDT 600 #BTC https://t.co/NhSguWxo7k"
1382119911930134529,2021-04-13 23:54:00,0,18,77,"Today's real-time bitcoin price and Affiliate rewards ranking by binance🥰
https://t.co/SjyIq9jg2o

#Ethereum
#BTC
#BNB
#USDT
#ADA
#dot
#xrp
#Uniswap
#Litecoin
#Chainlink
#coinbase"
1382119838965923841,2021-04-13 23:53:42,53,1825,150,"By keeping the interests of their community at the center of development, I believe @Bancor will rival competitors @Uniswap and @SushiSwap very soon.
Thanks to @NateHindman and @MBRichardson87 for their help!
https://t.co/vnxUa72Ue9"
1382119816039952390,2021-04-13 23:53:37,62,3280,3942,"@cz_binance #BNB  and #BSC will take over ETH. 

If you doubt this, do a $100 transaction on uniswap and then 
Do a $100 transaction on pancake swap. 

ETH fees - $55 
#BSC fees - $0.55"
1382119506932211712,2021-04-13 23:52:23,0,1368,280,@coinexcom @JulSwap @Uniswap $1 Soon #JULD
