Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1380671861948825601,2021-04-09 23:59:58,10,756,128,"Considering that the SEC was specifically warned by Grundfest that the exchanges would delist or suspend #XRP, the SEC could have made it clear to the exchanges that it wasn’t claiming #XRP the token was a security per se. They refused. 

https://t.co/jFSHKzfE5B"
1380671859734142976,2021-04-09 23:59:57,333,978,31,"800 PHP Gcash/ Coins/ XRP in 48 hrs

-Like + rt this
-follow me + @goat_trader13 
-tag friends"
1380671855963557888,2021-04-09 23:59:56,1858,1214,62,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671852352208897,2021-04-09 23:59:55,95,191,62,I will be sharing a #XRP fractal update later. I think next week may give us a $2 - $3 green candle.
1380671851874058241,2021-04-09 23:59:55,2562,1201,393,📰 $100 to someone who retweets this and follows @cryptonews_aus in 48 hours 📰 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671848027979788,2021-04-09 23:59:54,0,606,1176,@AndrewNation13 @Kevin_Cage_ #XRP will make #Bitcoin look like small change soon enough.
1380671843049291780,2021-04-09 23:59:53,1,853,18811,"Super cool site for people that like #stats #Statistics for #Ripple #XRP $XRP holders #xrparmy #xrpcommmunity 

Only 2.7 million XRP accounts out there for 45 billion ripple coins 

https://t.co/h6hoFXdVaE https://t.co/zTt18pVEI7"
1380671838972375041,2021-04-09 23:59:52,2562,1095,42,📰 $100 to someone who retweets this and follows @cryptonews_aus in 48 hours 📰 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671824992813060,2021-04-09 23:59:49,0,81,253,@jungleincxrp @AndrewTornetta @XRP_Jadey86 @xrp334 @BinanceUS @coinbase @cryptocom @krakenfx @XRP_OWL @Kevin_Cage_ @stephenchip @sentosumosaba @AlexCobb_ @WillyWonkaXRP I think that their app has not updated.  That when they hit the button to buy it will reject it..  who knows... I hope customer service @cryptocom clears it up...
1380671822669119489,2021-04-09 23:59:48,1858,2717,113,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671821536763907,2021-04-09 23:59:48,5,756,128,❗️❗️❗️❗️❗️❗️❗️ BREAKING----- We already broke the triangle!! What's next? I'm fucking excited!!! #XRP https://t.co/l8iCFDeaj0
1380671819452047361,2021-04-09 23:59:48,1969,1334,277,💯 $50 to someone who retweets this and follows @TheLondonCrypto with 🔔 on in 24 hours 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671815995953155,2021-04-09 23:59:47,171,419,330,"payment can be in #Bitcoin, #Ethereum, #BNB, #TRX @Paypal, @CashApp, indo e wallet, gcash, $DOGE, , whatever you want!!!!!! 

$BNB $ETH $TRX $XRP #BSC"
1380671812028178437,2021-04-09 23:59:46,61,191,62,Big #XRP breakout of the descending trend-line | Up from here 👆📈 $XRP https://t.co/JmtxULgyy2
1380671809415213056,2021-04-09 23:59:45,1858,1001,3076,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671804327493632,2021-04-09 23:59:44,1,756,128,"#XRP 1 dollar consolidation completed, we move on to next leg from here, lets go... going to be an exiting next week... https://t.co/eQ6DqZIIYu"
1380671804155564034,2021-04-09 23:59:44,140,319,129,"It will be 3-0 when the judge dismisses the case against @bgarlinghouse and @chrislarsensf. The best proof they allege is from legal advice that #XRP “could” be considered a security under certain conditions.

Hey Satoshi, ,#BTC can be a security if you use it like a security. 🤦‍♂️ https://t.co/Nga5EBKRdH"
1380671799680065536,2021-04-09 23:59:43,1858,1089,0,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671787994865664,2021-04-09 23:59:40,49,463,39,"We are live people!!!!😎🔥🔥🔥
#RelistXRP #XRP #XRPCommunity #0doubt #ripple #RelistXRP #XRP 

https://t.co/wI2s1DiUuC https://t.co/Dl5b4rwJga"
1380671780218667009,2021-04-09 23:59:38,0,77,12,"If your not in #XRP &amp; #XDC  what are you doing 😆

Also #RelistXRP 😁"
1380671776628203522,2021-04-09 23:59:37,18,191,62,"I feel like quitting my job this month. In fact, thanks to XRP/HBAR, I actually could."
1380671772916334595,2021-04-09 23:59:36,0,169,86,@Bitboy_Crypto knows it always been #XRP . He’s just letting you know now! A very big deal
1380671763286216713,2021-04-09 23:59:34,70,756,128,#XRP has one of the fastest-growing user bases in the crypto industry   #XRPCommunity
1380671762501885957,2021-04-09 23:59:34,416,9,1,"If #XRP repeats the spring 2017 fractal, we will see prices rise to around $6.10 by end of next week, followed by a correction down to around $2.38 by May 8 and a final push to around $32 to end the altseason by June 5. https://t.co/1QV61Gwo3j"
1380671757221199872,2021-04-09 23:59:33,1858,1517,688,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671755254169606,2021-04-09 23:59:32,4,756,128,All aboard #XRP army 🚀🚀🚀 Vacuum the markets. Don't let those unbelievers get your coins for 1.05$ now.
1380671753651847168,2021-04-09 23:59:32,71,191,62,$XRP is looking feisty 🔥
1380671751298842629,2021-04-09 23:59:31,1858,2569,331,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671746395697155,2021-04-09 23:59:30,1969,2265,1082,💯 $50 to someone who retweets this and follows @TheLondonCrypto with 🔔 on in 24 hours 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671741693923328,2021-04-09 23:59:29,0,6359,74549,"@lumenswap @StellarOrg @infura_io @BryceWeiner @samconnerone Yes, it’s perfectly normal that unless Ripple and Stellar’s servers are online, #XLM and #XRP deposits and withdrawals can’t happen.
Muh decentralization."
1380671740393582592,2021-04-09 23:59:29,1858,2067,1067,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671740011978754,2021-04-09 23:59:29,75,191,62,My twitter page is blowing up. Love to see new people joining the $XRP community.
1380671734735585283,2021-04-09 23:59:27,0,228,96,@XRP_OWL What’s a good amount of Hbar to have to make a good amount of gains in the next 30 days ?
1380671730625175556,2021-04-09 23:59:26,1969,1001,3076,💯 $50 to someone who retweets this and follows @TheLondonCrypto with 🔔 on in 24 hours 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671727726903297,2021-04-09 23:59:26,0,1806,1375,"@MickyBernard1 Why does “everything else” need to be “on the blockchain”; esp. when we’re still transitioning to hard money?

Doesn’t “everything else” slow the transition down

“everything else” be always added in to bitcoin with L2

XRP, BNB, ETH are no more decentralized than Apple."
1380671726946676736,2021-04-09 23:59:26,1858,1334,277,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671725055041543,2021-04-09 23:59:25,1858,1234,204,🔥 $50 to someone who retweets this and follows @BuhzCrypto + @EthJasper in 12 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1380671724233109504,2021-04-09 23:59:25,63,756,128,My mood for days 💫 #XRP https://t.co/e3rLQZa9W0
1380671722534363142,2021-04-09 23:59:24,1,243,112,"@AndrewNation13 Yes, got on Twitter to learn more about #Crypto &amp; #XRP since getting into buying as of Feb 22/21 &amp; promote my biz concept."
1380671711121580032,2021-04-09 23:59:22,66,191,62,Like if you're still holding #XRP
1380671709381070848,2021-04-09 23:59:21,106,756,128,"New Document Allows Investment In #XRP

Updated January 4th 2021

https://t.co/tos2cu5EY5 https://t.co/a9HI6mRUl4"
1380671701558566917,2021-04-09 23:59:19,1376,1900,116,"🔥 $75 to someone who retweets this and follows 
@growyoursocials + https://t.co/Q6JrKyeDKG in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi"
